model,place,strength,silhouette,asr,style_family,surface_style
Q2.5-7B,prefix,0,,0.0234375,surface_noise,letter_case
Q2.5-7B,prefix,10,,0.046875,surface_noise,letter_case
Q2.5-7B,prefix,25,,0.0390625,surface_noise,letter_case
Q2.5-7B,prefix,50,,0.0625,surface_noise,letter_case
Q2.5-7B,prefix,75,,0.0625,surface_noise,letter_case
Q2.5-7B,prefix,100,,0.0703125,surface_noise,letter_case
Q2.5-7B,suffix,0,,0.0234375,surface_noise,letter_case
Q2.5-7B,suffix,10,,0.09375,surface_noise,letter_case
Q2.5-7B,suffix,25,,0.0234375,surface_noise,letter_case
Q2.5-7B,suffix,50,,0.1171875,surface_noise,letter_case
Q2.5-7B,suffix,75,,0.0234375,surface_noise,letter_case
Q2.5-7B,suffix,100,,0.0859375,surface_noise,letter_case
Q2.5-7B,global,0,,0.0234375,surface_noise,letter_case
Q2.5-7B,global,10,,0.0390625,surface_noise,letter_case
Q2.5-7B,global,25,,0.0625,surface_noise,letter_case
Q2.5-7B,global,50,,0.078125,surface_noise,letter_case
Q2.5-7B,global,75,,0.1015625,surface_noise,letter_case
Q2.5-7B,global,100,,0.046875,surface_noise,letter_case
