model,place,strength,silhouette,asr
G-7B,prefix,-10,0.687081515789032,
G-7B,prefix,-8,0.6483310461044312,
G-7B,prefix,-6,0.693671464920044,
G-7B,prefix,-4,0.7357699275016785,
G-7B,prefix,-2,0.6442221403121948,
G-7B,prefix,0,0.49942100048065186,
G-7B,prefix,2,0.6843788623809814,
G-7B,prefix,4,0.7506985068321228,
G-7B,prefix,6,0.6786516904830933,
G-7B,prefix,8,0.6352322101593018,
G-7B,prefix,10,0.43932676315307617,
G-7B,suffix,-10,0.5828410983085632,
G-7B,suffix,-8,0.6867878437042236,
G-7B,suffix,-6,0.7423688173294067,
G-7B,suffix,-4,0.7925395965576172,
G-7B,suffix,-2,0.6102657318115234,
G-7B,suffix,0,0.49942100048065186,
G-7B,suffix,2,0.6625689268112183,
G-7B,suffix,4,0.799288272857666,
G-7B,suffix,6,0.7414225339889526,
G-7B,suffix,8,0.6842792630195618,
G-7B,suffix,10,0.5258380174636841,
G-7B,global,-10,0.052642758935689926,
G-7B,global,-8,0.14359134435653687,
G-7B,global,-6,0.19899503886699677,
G-7B,global,-4,0.6667516827583313,
G-7B,global,-2,0.7521376609802246,
G-7B,global,0,0.49942100048065186,
G-7B,global,2,0.7260241508483887,
G-7B,global,4,0.7134003043174744,
G-7B,global,6,0.5412915945053101,
G-7B,global,8,0.46959376335144043,
G-7B,global,10,0.2456989288330078,
