model,place,strength,silhouette,asr,style_family,surface_style
G-2B,prefix,0,0.406269371509552,,surface_noise,punctuation
G-2B,prefix,1,0.40047284960746765,,surface_noise,punctuation
G-2B,prefix,3,0.41140520572662354,,surface_noise,punctuation
G-2B,prefix,5,0.41145798563957214,,surface_noise,punctuation
G-2B,prefix,10,0.4183604121208191,,surface_noise,punctuation
G-2B,prefix,20,0.4126089811325073,,surface_noise,punctuation
G-2B,suffix,0,0.406269371509552,,surface_noise,punctuation
G-2B,suffix,1,0.4005202651023865,,surface_noise,punctuation
G-2B,suffix,3,0.42059919238090515,,surface_noise,punctuation
G-2B,suffix,5,0.4268413484096527,,surface_noise,punctuation
G-2B,suffix,10,0.426642507314682,,surface_noise,punctuation
G-2B,suffix,20,0.434081494808197,,surface_noise,punctuation
G-2B,global,0,0.406269371509552,,surface_noise,punctuation
G-2B,global,1,0.4100912809371948,,surface_noise,punctuation
G-2B,global,3,0.41833317279815674,,surface_noise,punctuation
G-2B,global,5,0.4575252830982208,,surface_noise,punctuation
G-2B,global,10,0.45524466037750244,,surface_noise,punctuation
G-2B,global,20,0.4799864888191223,,surface_noise,punctuation
