model,place,strength,silhouette,asr
Q2.5-7B,prefix,-10,,0.046875
Q2.5-7B,prefix,-8,,0.0625
Q2.5-7B,prefix,-6,,0.0625
Q2.5-7B,prefix,-4,,0.09375
Q2.5-7B,prefix,-2,,0.0859375
Q2.5-7B,prefix,0,,0.0234375
Q2.5-7B,prefix,2,,0.1015625
Q2.5-7B,prefix,4,,0.046875
Q2.5-7B,prefix,6,,0.0625
Q2.5-7B,prefix,8,,0.0625
Q2.5-7B,prefix,10,,0.03125
Q2.5-7B,suffix,-10,,0.0078125
Q2.5-7B,suffix,-8,,0.015625
Q2.5-7B,suffix,-6,,0.015625
Q2.5-7B,suffix,-4,,0.0234375
Q2.5-7B,suffix,-2,,0.0390625
Q2.5-7B,suffix,0,,0.0234375
Q2.5-7B,suffix,2,,0.0234375
Q2.5-7B,suffix,4,,0.0234375
Q2.5-7B,suffix,6,,0.015625
Q2.5-7B,suffix,8,,0.0234375
Q2.5-7B,suffix,10,,0.0234375
Q2.5-7B,global,-10,,0.0234375
Q2.5-7B,global,-8,,0.0234375
Q2.5-7B,global,-6,,0.0234375
Q2.5-7B,global,-4,,0.0390625
Q2.5-7B,global,-2,,0.03125
Q2.5-7B,global,0,,0.0234375
Q2.5-7B,global,2,,0.0625
Q2.5-7B,global,4,,0.0390625
Q2.5-7B,global,6,,0.0390625
Q2.5-7B,global,8,,0.0390625
Q2.5-7B,global,10,,0.0546875
