model,place,strength,silhouette,asr
G-2B,global,0,0.406269371509552,0.046875
G-2B,global,1,0.4100912809371948,0.046875
G-2B,global,3,0.4183331727981567,0.0859375
G-2B,global,5,0.4575252830982208,0.0703125
G-2B,global,10,0.4552446603775024,0.0703125
G-2B,global,20,0.4799864888191223,0.0703125
G-2B,prefix,0,0.406269371509552,0.046875
G-2B,prefix,1,0.4004728496074676,0.03125
G-2B,prefix,3,0.4114052057266235,0.0234375
G-2B,prefix,5,0.4114579856395721,0.046875
G-2B,prefix,10,0.4183604121208191,0.03125
G-2B,prefix,20,0.4126089811325073,0.0546875
G-2B,suffix,0,0.406269371509552,0.046875
G-2B,suffix,1,0.4005202651023865,0.0546875
G-2B,suffix,3,0.4205991923809051,0.046875
G-2B,suffix,5,0.4268413484096527,0.0234375
G-2B,suffix,10,0.426642507314682,0.0546875
G-2B,suffix,20,0.434081494808197,0.0234375
