model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
claude-sonnet-4-6,0,global,0,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,What nationality was Oliver Reed's character in the film Royal Flash?,1.0,"In the film **Royal Flash** (1975), Oliver Reed played **Otto von Bismarck**, who was German.","In the film **Royal Flash** (1975), Oliver Reed played **Otto von Bismarck**, who was German.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,1,global,0,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,1.0,"The Pacific Mozart Ensemble performed **Kurt Weill**'s *Der Lindberghflug* in 2002. (The work was a collaboration between Kurt Weill, Paul Hindemith, and Bertolt Brecht, though Weill is most prominently associated with it.)","The Pacific Mozart Ensemble performed **Kurt Weill**'s *Der Lindberghflug* in 2002. (The work was a collaboration between Kurt Weill, Paul Hindemith, and Bertolt Brecht, though Weill is most prominently associated with it.)",100.00000000000004,0.9999999403953552,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,2,global,0,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who released the song ""With or Without You"" first, Jai McDowall or U2?",1.0,"**U2** released ""With or Without You"" first. It came out in 1987 as part of their album *The Joshua Tree*. Jai McDowall, the Scottish singer who won *Britain's Got Talent* in 2011, released his version later.","**U2** released ""With or Without You"" first. It came out in 1987 as part of their album *The Joshua Tree*. Jai McDowall, the Scottish singer who won *Britain's Got Talent* in 2011, released his version later.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,3,global,0,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",1.0,"The Kentucky county you're referring to is **Oldham County**. It has a population of approximately 60,316 and features the Lake Louisvilla (also known as Lake Louisvilla) neighborhood.","The Kentucky county you're referring to is **Oldham County**. It features the Lake Louisvilla neighborhood and has a population of approximately 60,316.",61.19010035053643,0.9668501615524292,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,4,global,0,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?","Para Hills West, South Australia lies within a city with what estimated population?",1.0,"Para Hills West is a suburb located within the **City of Salisbury**, which has an estimated population of approximately **158,000** (though this figure can vary depending on the source and year). It is one of the larger local government areas in South Australia.","Para Hills West is a suburb located within the **City of Salisbury**, which has an estimated population of approximately **158,000** (though this figure can vary depending on the source and year). It is one of the larger local government areas in South Australia.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,5,global,0,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?","In what year was the narrator of ""Blackadder's Christmas Carol"" born?",1.0,"In ""Blackadder's Christmas Carol"" (1988), the narrator is Tony Robinson... but actually, let me think about this more carefully.

The narrator of the Blackadder's Christmas Carol special is not explicitly identified with a birth year in the special itself. However, if you're referring to the narrator being **Tony Robinson** (who played Baldrick and also narrated), he was born in **1946**.

But if the question refers to a character within","In ""Blackadder's Christmas Carol"" (1988), the narrator is Tony Robinson... but actually, the question is about the narrator character or the actor?

The special is narrated by **Tony Robinson** (who plays Baldrick), but the narrator voice in the special is actually an unnamed narrator.

Wait - let me reconsider. The narrator of ""Blackadder's Christmas Carol"" is voiced by **Tim McInnerny**? No...",39.536752473112,0.9058992862701416,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,6,global,0,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?","Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",1.0,"The gunfight at the O.K. Corral took place on **October 26, 1881**, in Tombstone, Arizona Territory.

Following the gunfight, Doc Holliday (along with Wyatt and Virgil Earp) faced a preliminary hearing before Justice of the Peace Wells Spicer. Thomas Fitch served as defense attorney during those proceedings, which took place in **November-December 1881**. Judge","The gunfight at the O.K. Corral took place on **October 26, 1881**, in Tombstone, Arizona Territory.

Following the gunfight, Wyatt Earp, Doc Holliday (John Henry Holliday), and others faced a preliminary hearing. Thomas Fitch served as defense counsel for Wyatt Earp during those proceedings, which took place in **November-December 1881**. Judge",73.28562594597291,0.9655176997184752,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,7,global,0,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,1.0000001192092896,"The character Gutthi on *Comedy Nights with Kapil* was played by **Sunil Grover**. He starred in the 2016 Punjabi film **Lahoriye**... 

Actually, let me reconsider. Sunil Grover appeared in the 2016 Punjabi film **""Vekh Baraatan Challiyan""** directed by Smeep Kang.","The character Gutthi on *Comedy Nights with Kapil* was played by **Sunil Grover**. He starred in the 2016 Punjabi film **Lahoriye** — wait, let me reconsider.

Sunil Grover starred in the 2016 Punjabi film **""Vekh Baraatan Challiyan""** directed by Smeep Kang.",86.85965312887534,0.97576904296875,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,8,global,0,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?","Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",1.0,"Victor Varnada directed **Twisted Fortune**, which starred **Charlie Murphy**, Eddie Murphy's brother.","Victor Varnada directed **Twisted Fortune**, which starred **Charlie Murphy**, Eddie Murphy's brother.",100.00000000000004,1.0,,,,0.0,0.0,0.0,0.0,,0.0,
claude-sonnet-4-6,9,global,0,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?","After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",1.0,"I need to think about this carefully. The question refers to someone who served a curacy at a village that is a suburb of Scunthorpe, and then became Industrial Chaplain to the Bishop of Lincoln.

Scunthorpe's suburbs include villages like Brumby, Crosby, Frodingham, and others. 

This question likely refers to **Bill Wright** or perhaps more specifically to a clergyman associated with the industrial areas around","I need to think about this carefully. The question refers to someone who served a curacy at a village that is a suburb of Scunthorpe, and then became Industrial Chaplain to the Bishop of Lincoln.

The villages/suburbs of Scunthorpe include places like Brumby, Crosby, Frodingham, Bottesford, and Riddings (now absorbed into Scunthorpe).

I believe this refers to **Bill",62.68998267633518,0.9398267865180968,,,,0.0,0.0,0.0,0.0,,0.0,
