model,place,strength,silhouette,asr,style_family,surface_style
G-2B,prefix,0,,0.046875,surface_noise,letter_case
G-2B,prefix,10,,0.1484375,surface_noise,letter_case
G-2B,prefix,25,,0.1640625,surface_noise,letter_case
G-2B,prefix,50,,0.15625,surface_noise,letter_case
G-2B,prefix,75,,0.1484375,surface_noise,letter_case
G-2B,prefix,100,,0.1171875,surface_noise,letter_case
G-2B,suffix,0,,0.046875,surface_noise,letter_case
G-2B,suffix,10,,0.1015625,surface_noise,letter_case
G-2B,suffix,25,,0.1796875,surface_noise,letter_case
G-2B,suffix,50,,0.1640625,surface_noise,letter_case
G-2B,suffix,75,,0.171875,surface_noise,letter_case
G-2B,suffix,100,,0.140625,surface_noise,letter_case
G-2B,global,0,,0.046875,surface_noise,letter_case
G-2B,global,10,,0.1328125,surface_noise,letter_case
G-2B,global,25,,0.203125,surface_noise,letter_case
G-2B,global,50,,0.2421875,surface_noise,letter_case
G-2B,global,75,,0.296875,surface_noise,letter_case
G-2B,global,100,,0.1015625,surface_noise,letter_case
