model,place,strength,silhouette,asr
G-2B,prefix,0,0.406269371509552,
G-2B,prefix,1,0.406269371509552,
G-2B,prefix,5,0.406269371509552,
G-2B,prefix,20,0.406269371509552,
G-2B,prefix,50,0.406269371509552,
G-2B,prefix,100,0.406269371509552,
G-2B,suffix,0,0.406269371509552,
G-2B,suffix,1,0.406269371509552,
G-2B,suffix,5,0.406269371509552,
G-2B,suffix,20,0.406269371509552,
G-2B,suffix,50,0.406269371509552,
G-2B,suffix,100,0.406269371509552,
G-2B,global,0,0.406269371509552,
G-2B,global,1,0.41229405999183655,
G-2B,global,5,0.431059330701828,
G-2B,global,20,0.36813315749168396,
G-2B,global,50,0.3501913547515869,
G-2B,global,100,0.2620531916618347,
