model,place,strength,silhouette,asr
L3.1-8B,prefix,-10,0.21816034615039825,
L3.1-8B,prefix,-8,0.22649751603603363,
L3.1-8B,prefix,-6,0.24104632437229156,
L3.1-8B,prefix,-4,0.3833233416080475,
L3.1-8B,prefix,-2,0.4377709925174713,
L3.1-8B,prefix,0,0.4527660310268402,
L3.1-8B,prefix,2,0.43653762340545654,
L3.1-8B,prefix,4,0.39239194989204407,
L3.1-8B,prefix,6,0.24005278944969177,
L3.1-8B,prefix,8,0.22411496937274933,
L3.1-8B,prefix,10,0.11246206611394882,
L3.1-8B,suffix,-10,0.25005096197128296,
L3.1-8B,suffix,-8,0.34272098541259766,
L3.1-8B,suffix,-6,0.35908418893814087,
L3.1-8B,suffix,-4,0.3943201005458832,
L3.1-8B,suffix,-2,0.43227729201316833,
L3.1-8B,suffix,0,0.4527660310268402,
L3.1-8B,suffix,2,0.4111979603767395,
L3.1-8B,suffix,4,0.39361655712127686,
L3.1-8B,suffix,6,0.3186827301979065,
L3.1-8B,suffix,8,0.316476434469223,
L3.1-8B,suffix,10,0.24933667480945587,
L3.1-8B,global,-10,0.1256411224603653,
L3.1-8B,global,-8,0.11210892349481583,
L3.1-8B,global,-6,0.13761082291603088,
L3.1-8B,global,-4,0.25687316060066223,
L3.1-8B,global,-2,0.3852614164352417,
L3.1-8B,global,0,0.4527660310268402,
L3.1-8B,global,2,0.4031427800655365,
L3.1-8B,global,4,0.31952428817749023,
L3.1-8B,global,6,0.11987970769405365,
L3.1-8B,global,8,0.10241495817899704,
L3.1-8B,global,10,0.11191687732934952,
