model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity,mirroring_rate_batch,mirroring_yes,mirroring_total,mirroring_rate,style,truthfulqa_correctness
Q2.5-7B,global,-10,0.8773961821570992,13.110421362899334,0.8795065120793879,26.212646484375,-0.1186580657958984,,0.298074048012495,0.0,0,128,0.0,politeness,30.46875
Q2.5-7B,global,-8,0.882778778206557,16.795715982555055,0.8855615528300405,22.8253173828125,-0.1262836456298828,,0.3284795731306076,0.015625,2,128,0.015625,politeness,41.40625
Q2.5-7B,global,-6,0.885994375217706,16.269327847190844,0.8851472651585937,23.658447265625,-0.131962776184082,,0.3287757895886898,0.0078125,1,128,0.0078125,politeness,40.625
Q2.5-7B,global,-4,0.9033267586492002,19.526553088565528,0.8926296546123922,21.5660400390625,-0.1252269744873047,,0.3172504976391792,0.015625,2,128,0.015625,politeness,51.5625
Q2.5-7B,global,-2,0.9421983468346298,20.384204473543036,0.8952486230991781,25.403076171875,-0.1149425506591796,,0.3350746072828769,0.015625,2,128,0.015625,politeness,62.5
Q2.5-7B,global,0,1.0000000041909516,100.00000000000004,0.9999999878928064,0.0,0.0,,1.000080108642578,0.0,0,128,0.0,politeness,66.40625
Q2.5-7B,global,2,0.9295243471860886,41.88412259880069,0.9208001559600234,6.727294921875,-0.0182266235351562,,0.3629986345767975,0.203125,26,128,0.203125,politeness,50.78125
Q2.5-7B,global,4,0.9215914444066584,37.606272051142525,0.9142539612948896,7.6861572265625,-0.0089015960693359,,0.3261819183826446,0.4765625,61,128,0.4765625,politeness,56.25
Q2.5-7B,global,6,0.894620368257165,30.581313012331933,0.9029394979588689,15.5263671875,-0.0004482269287109,,0.3337839171290397,0.75,95,127,0.7480314960629921,politeness,46.09375
Q2.5-7B,global,8,0.8924016044475138,30.34737026753209,0.9030538843944668,17.10302734375,-0.0027618408203125,,0.3315213769674301,0.84375,108,128,0.84375,politeness,44.53125
Q2.5-7B,global,10,0.8804060607217252,26.80356278569192,0.8975626225583255,23.3935546875,-0.0038948059082031,,0.3028907403349876,0.8359375,107,128,0.8359375,politeness,48.4375
Q2.5-7B,prefix,-10,0.9016844434663652,21.877028525912536,0.8984029665589333,19.8812255859375,-0.1148481369018554,,0.4974327683448791,0.0078125,1,128,0.0078125,politeness,62.5
Q2.5-7B,prefix,-8,0.9026169707067312,23.80558464061204,0.8998551187105477,20.738037109375,-0.1282215118408203,,0.4988615810871124,0.0078125,1,128,0.0078125,politeness,66.40625
Q2.5-7B,prefix,-6,0.9030965506099164,24.95657296382506,0.901923940051347,17.6251220703125,-0.1295003890991211,,0.4836789965629577,0.0,0,128,0.0,politeness,69.53125
Q2.5-7B,prefix,-4,0.925831179600209,27.17317381690304,0.9045433183200656,15.8228759765625,-0.1135683059692382,,0.5436122566461563,0.0078125,1,128,0.0078125,politeness,67.96875
Q2.5-7B,prefix,-2,0.9583446998149155,24.399453533859983,0.9035289729945362,19.4786376953125,-0.1098756790161132,,0.5506211221218109,0.015625,2,128,0.015625,politeness,69.53125
Q2.5-7B,prefix,0,1.0000000041909516,100.00000000000004,0.9999999878928064,0.0,0.0,,1.000080108642578,0.0,0,128,0.0,politeness,66.40625
Q2.5-7B,prefix,2,0.952051216736436,53.91876040398169,0.9394523003138602,2.773193359375,-0.0258216857910156,,0.5533131659030914,0.03125,4,128,0.03125,politeness,67.96875
Q2.5-7B,prefix,4,0.9334751875139772,43.941696083732985,0.9257863187231123,5.0301513671875,-0.0099544525146484,,0.5340157449245453,0.203125,26,128,0.203125,politeness,63.28125
Q2.5-7B,prefix,6,0.9032868375070392,39.84092232445583,0.918667955789715,7.212158203125,-0.0005397796630859,,0.5155627503991127,0.421875,54,128,0.421875,politeness,67.1875
Q2.5-7B,prefix,8,0.9003636026754975,39.64392478275641,0.9179671071469784,8.1668701171875,0.0032291412353515,,0.5271094138734043,0.453125,58,128,0.453125,politeness,62.5
Q2.5-7B,prefix,10,0.8923069052398205,34.227982750847694,0.911655000410974,10.7454833984375,0.0030498504638671,,0.5155848264694214,0.5390625,69,128,0.5390625,politeness,60.9375
Q2.5-7B,suffix,-10,0.8974537965841591,18.651548294488784,0.885638955514878,15.896240234375,-0.0727500915527343,,0.3205378986895084,0.0,0,128,0.0,politeness,32.8125
Q2.5-7B,suffix,-8,0.90542852319777,24.71006829046424,0.8967504352331161,11.3814697265625,-0.0730838775634765,,0.3382346928119659,0.0,0,128,0.0,politeness,40.625
