model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity,mirroring_rate
Q2.5-7B,global,0,0.9999999990686774,100.00000000000004,0.9999999850988388,0.0,0.0,,0.9999656677246094,0.0
Q2.5-7B,global,1,0.9825185742229224,57.89404559250372,0.9469668716192244,0.18060302734375,-0.0006790161132812,,0.9568080902099608,0.0
Q2.5-7B,global,5,0.9385307426564397,47.616547500225536,0.9366605430841446,0.1500244140625,-0.0064010620117187,,0.5941005051136017,0.0
Q2.5-7B,global,20,0.8568868776783347,47.022738546017045,0.9373038858175278,4.2232666015625,-0.01995849609375,,0.5359931588172913,0.0
Q2.5-7B,global,50,0.7805671337991953,40.19343661158029,0.9239096343517303,5.23236083984375,-0.0316219329833984,,0.4924108386039734,0.0
Q2.5-7B,global,100,0.719779847189784,39.20194287801038,0.9232260435819626,5.186767578125,-0.0318012237548828,,0.4823595881462097,0.0
Q2.5-7B,prefix,0,0.9999999990686774,100.00000000000004,0.9999999850988388,0.0,0.0,,0.9999656677246094,0.0
Q2.5-7B,prefix,1,0.9999999976716936,79.26438140556505,0.973854124546051,0.2427978515625,-0.0070438385009765,,0.9684581756591796,0.0
Q2.5-7B,prefix,5,0.9999999976716936,74.01344695807676,0.9749549478292464,0.73760986328125,-0.0206661224365234,,0.9586296081542968,0.0
Q2.5-7B,prefix,20,0.9999999976716936,56.00528248974159,0.9463282823562622,0.181396484375,-0.0177268981933593,,0.9525470733642578,0.0
Q2.5-7B,prefix,50,0.9999999976716936,48.35623157824199,0.9394553750753404,-0.21209716796875,-0.0197257995605468,,0.9469366073608398,0.0
Q2.5-7B,prefix,100,0.9999999976716936,52.23922452077812,0.9418875128030776,-0.46142578125,-0.0156059265136718,,0.9467182159423828,0.0
Q2.5-7B,suffix,0,0.9999999990686774,100.00000000000004,0.9999999850988388,0.0,0.0,,0.9999656677246094,0.0
Q2.5-7B,suffix,1,0.9999999976716936,86.95889227115595,0.9888860434293748,-0.27276611328125,0.0039291381835937,,0.8603460788726807,0.0
Q2.5-7B,suffix,5,0.9999999976716936,66.82102647499647,0.962481677532196,-0.5106201171875,-0.0062198638916015,,0.8546431064605713,0.0
Q2.5-7B,suffix,20,0.9999999976716936,52.57937866982936,0.9446472376585008,-0.6060791015625,-0.0044441223144531,,0.8436195850372314,0.0
Q2.5-7B,suffix,50,0.9999999976716936,51.31584446631955,0.9440674632787704,-0.8203125,-0.0034255981445312,,0.8482706546783447,0.0
Q2.5-7B,suffix,100,0.9999999976716936,56.42008936629388,0.9490131139755248,-1.11962890625,-0.0032157897949218,,0.7902692556381226,0.0
