model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity,mirroring_rate
Q2.5-1.5B,global,0,0.9999999874271452,100.00000000000004,1.0,0.0,0.0,,1.0000038146972656,0.0
Q2.5-1.5B,global,1,0.985339029226452,57.77273426373544,0.9485043734312056,-0.51123046875,0.0016937255859375,,0.8548421859741211,0.0
Q2.5-1.5B,global,5,0.9456224283203484,16.297806431980046,0.8926034569740295,-1.1201171875,0.0109329223632812,,0.6548225581645966,0.0
Q2.5-1.5B,global,20,0.8666684199124575,20.98904125991181,0.8888345509767532,-2.30322265625,0.0187454223632812,,0.5898147523403168,0.0
Q2.5-1.5B,global,50,0.7895484673790634,18.57885923388116,0.8905179798603058,-3.17529296875,0.0178451538085937,,0.5287393033504486,0.0
Q2.5-1.5B,global,100,0.7260473533533514,17.41962591264192,0.8770695924758911,-3.61669921875,0.0148849487304687,,0.5283261239528656,0.0
Q2.5-1.5B,prefix,0,0.9999999874271452,100.00000000000004,1.0,0.0,0.0,,1.0000038146972656,0.0
Q2.5-1.5B,prefix,1,0.9999999855645,58.35616233647984,0.9506197422742844,0.0341796875,0.001983642578125,,0.983652114868164,0.0
Q2.5-1.5B,prefix,5,0.9999999855645,68.94363753772069,0.962341696023941,-0.84033203125,0.004119873046875,,0.8795912265777588,0.0
Q2.5-1.5B,prefix,20,0.9999999855645,70.40684817975988,0.9627249538898468,-0.1982421875,0.00885009765625,,0.8809950351715088,0.0
Q2.5-1.5B,prefix,50,0.9999999855645,66.13675880282709,0.952406406402588,0.001953125,0.0117416381835937,,0.87654709815979,0.0
Q2.5-1.5B,prefix,100,0.9999999855645,64.727160650371,0.951482355594635,-1.2734375,0.0168991088867187,,0.8564586639404297,0.0
Q2.5-1.5B,suffix,0,0.9999999874271452,100.00000000000004,1.0,0.0,0.0,,1.0000038146972656,0.0
Q2.5-1.5B,suffix,1,0.9999999855645,67.89656999560216,0.9642057418823242,0.23876953125,-0.0080108642578125,,0.7703986167907715,0.0
Q2.5-1.5B,suffix,5,0.9999999855645,69.64591170298064,0.9624208956956865,0.31396484375,3.814697265625e-05,,0.772519588470459,0.0
Q2.5-1.5B,suffix,20,0.9999999855645,37.08358410828097,0.915334016084671,0.0263671875,0.0049285888671875,,0.7798895835876465,0.0
Q2.5-1.5B,suffix,50,0.9999999855645,59.301772315292034,0.9306179136037828,-0.03173828125,-0.0022506713867187,,0.7785277366638184,0.25
Q2.5-1.5B,suffix,100,0.9999999855645,60.9740872966734,0.9464616924524308,-0.5615234375,-0.00079345703125,,0.7467919588088989,0.0
