model,place,strength,silhouette,asr,style_family,surface_style
L3.2-3B,prefix,0,,0.0859375,surface_noise,spacing
L3.2-3B,prefix,1,,0.0859375,surface_noise,spacing
L3.2-3B,prefix,5,,0.0859375,surface_noise,spacing
L3.2-3B,prefix,20,,0.0859375,surface_noise,spacing
L3.2-3B,prefix,50,,0.0859375,surface_noise,spacing
L3.2-3B,prefix,100,,0.0859375,surface_noise,spacing
L3.2-3B,suffix,0,,0.0859375,surface_noise,spacing
L3.2-3B,suffix,1,,0.0859375,surface_noise,spacing
L3.2-3B,suffix,5,,0.0859375,surface_noise,spacing
L3.2-3B,suffix,20,,0.0859375,surface_noise,spacing
L3.2-3B,suffix,50,,0.0859375,surface_noise,spacing
L3.2-3B,suffix,100,,0.0859375,surface_noise,spacing
L3.2-3B,global,0,,0.0859375,surface_noise,spacing
L3.2-3B,global,1,,0.09375,surface_noise,spacing
L3.2-3B,global,5,,0.1328125,surface_noise,spacing
L3.2-3B,global,20,,0.078125,surface_noise,spacing
L3.2-3B,global,50,,0.0859375,surface_noise,spacing
L3.2-3B,global,100,,0.0859375,surface_noise,spacing
