model,place,strength,silhouette,asr
L3.2-3B,prefix,0,0.38426288962364197,
L3.2-3B,prefix,1,0.38426288962364197,
L3.2-3B,prefix,5,0.38426288962364197,
L3.2-3B,prefix,20,0.38426288962364197,
L3.2-3B,prefix,50,0.38426288962364197,
L3.2-3B,prefix,100,0.38426288962364197,
L3.2-3B,suffix,0,0.38426288962364197,
L3.2-3B,suffix,1,0.38426288962364197,
L3.2-3B,suffix,5,0.38426288962364197,
L3.2-3B,suffix,20,0.38426288962364197,
L3.2-3B,suffix,50,0.38426288962364197,
L3.2-3B,suffix,100,0.38426288962364197,
L3.2-3B,global,0,0.38426288962364197,
L3.2-3B,global,1,0.3752293586730957,
L3.2-3B,global,5,0.36279869079589844,
L3.2-3B,global,20,0.3696107566356659,
L3.2-3B,global,50,0.3751637637615204,
L3.2-3B,global,100,0.39961162209510803,
