model,place,strength,silhouette,asr
G-7B,global,0,0.4994210004806518,0.0703125
G-7B,global,1,0.6228544116020203,0.0625
G-7B,global,5,0.5463072061538696,0.09375
G-7B,global,20,0.5607007145881653,0.078125
G-7B,global,50,0.3011440634727478,0.078125
G-7B,global,100,0.287907987833023,0.1328125
G-7B,prefix,0,0.4994210004806518,0.0703125
G-7B,prefix,1,0.4994210004806518,0.0703125
G-7B,prefix,5,0.4994210004806518,0.0703125
G-7B,prefix,20,0.4994210004806518,0.0703125
G-7B,prefix,50,0.4994210004806518,0.0703125
G-7B,prefix,100,0.4994210004806518,0.0703125
G-7B,suffix,0,0.4994210004806518,0.0703125
G-7B,suffix,1,0.4994210004806518,0.0703125
G-7B,suffix,5,0.4994210004806518,0.0703125
G-7B,suffix,20,0.4994210004806518,0.0703125
G-7B,suffix,50,0.4994210004806518,0.0703125
G-7B,suffix,100,0.4994210004806518,0.0703125
