model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity,mirroring_rate_batch
Q2.5-1.5B,global,-10,0.8588373772799969,5.695456635276133,0.8502501659095287,7.0556640625,-0.002899169921875,0.911376953125,
Q2.5-1.5B,global,-8,0.8614826463162899,13.864878800162263,0.8854380659759045,4.1318359375,0.0086669921875,0.961517333984375,
Q2.5-1.5B,global,-6,0.8666984438896179,13.17365944457465,0.8851264491677284,4.376953125,0.0126953125,0.960052490234375,
Q2.5-1.5B,global,-4,0.8809777498245239,12.13842941166693,0.8825342766940594,3.669921875,-0.011260986328125,0.965179443359375,
Q2.5-1.5B,global,-2,0.9124660305678844,13.380926602353952,0.8845804743468761,5.890625,-0.017181396484375,0.952667236328125,
Q2.5-1.5B,global,0,1.0000000409781933,100.00000000000004,0.9999999850988388,0.0,0.0,1.000091552734375,
Q2.5-1.5B,global,2,0.9207808673381805,14.866872587375127,0.8809494972229004,2.4296875,0.01611328125,0.96417236328125,
Q2.5-1.5B,global,4,0.899675901979208,16.55743502251514,0.8802906908094883,1.9892578125,0.036407470703125,0.928924560546875,
Q2.5-1.5B,global,6,0.8741297535598278,15.770064106079948,0.8772141374647617,1.7548828125,0.03302001953125,0.92022705078125,
Q2.5-1.5B,global,8,0.8720849417150021,17.33314085997739,0.8778920844197273,2.587890625,0.036956787109375,0.896331787109375,
Q2.5-1.5B,global,10,0.8582523167133331,10.012163044665515,0.8625979162752628,4.01171875,0.05133056640625,0.860443115234375,
Q2.5-1.5B,prefix,-10,0.8814613334834576,11.026926476478215,0.8707148618996143,5.658203125,-0.013580322265625,0.9310302734375,
Q2.5-1.5B,prefix,-8,0.8834058195352554,16.131329795802568,0.8832510858774185,2.9775390625,-0.0052490234375,0.973602294921875,
Q2.5-1.5B,prefix,-6,0.887482225894928,18.361390338805094,0.888519860804081,3.0517578125,-0.01507568359375,0.97479248046875,
Q2.5-1.5B,prefix,-4,0.9046783819794655,16.037544742296262,0.8878454193472862,2.8896484375,-0.020782470703125,0.975341796875,
Q2.5-1.5B,prefix,-2,0.9288946241140366,12.628038742459097,0.8864185661077499,3.5947265625,-0.02130126953125,0.95867919921875,
Q2.5-1.5B,prefix,0,1.0000000409781933,100.00000000000004,0.9999999850988388,0.0,0.0,1.000091552734375,
Q2.5-1.5B,prefix,2,0.9368414729833603,23.95349701321961,0.8994158990681171,0.361328125,-0.01300048828125,0.98638916015625,
Q2.5-1.5B,prefix,4,0.911848746240139,17.147208705801525,0.8813505247235298,0.7666015625,0.0250244140625,0.95294189453125,
Q2.5-1.5B,prefix,6,0.882010992616415,19.511336470257312,0.8888875097036362,0.37109375,0.019622802734375,0.960479736328125,
Q2.5-1.5B,prefix,8,0.8783567473292351,16.794857388665314,0.8821581713855267,0.3212890625,0.01806640625,0.954559326171875,
Q2.5-1.5B,prefix,10,0.8709506951272488,14.849904367022072,0.8723288476467133,1.22265625,0.028106689453125,0.93182373046875,
Q2.5-1.5B,suffix,-10,0.8858546167612076,8.899748853029383,0.8685994893312454,3.0400390625,-0.000518798828125,0.9649658203125,
Q2.5-1.5B,suffix,-8,0.8924477808177471,13.871389327942994,0.8813809454441071,2.6455078125,-0.012603759765625,0.979888916015625,
Q2.5-1.5B,suffix,-6,0.896716546267271,24.791512354362762,0.902068730443716,2.8876953125,-0.00665283203125,0.978546142578125,
Q2.5-1.5B,suffix,-4,0.9112068973481655,20.454007967107344,0.8960812017321587,1.873046875,-0.012725830078125,0.983428955078125,
Q2.5-1.5B,suffix,-2,0.9595851823687553,23.09149483137174,0.8977623693645,0.8740234375,0.00054931640625,0.990325927734375,
Q2.5-1.5B,suffix,0,1.0000000409781933,100.00000000000004,0.9999999850988388,0.0,0.0,1.000091552734375,
Q2.5-1.5B,suffix,2,0.958710853010416,22.48006893105492,0.8970722295343876,0.888671875,0.008392333984375,0.989501953125,
Q2.5-1.5B,suffix,4,0.9269158951938152,22.26232474689956,0.891234926879406,1.1123046875,0.0062255859375,0.9769287109375,
Q2.5-1.5B,suffix,6,0.8991913050413132,17.768351614662354,0.8801451399922371,0.9033203125,0.007415771484375,0.958038330078125,
Q2.5-1.5B,suffix,8,0.8948803171515465,16.187850260438594,0.8796215355396271,1.2939453125,0.0035400390625,0.95452880859375,
Q2.5-1.5B,suffix,10,0.8870629221200943,17.224879882071118,0.86694360896945,2.0009765625,0.0133056640625,0.9515380859375,
