model,place,strength,silhouette,asr
G-2B,prefix,0,0.406269371509552,
G-2B,prefix,1,0.40119266510009766,
G-2B,prefix,3,0.41550585627555847,
G-2B,prefix,5,0.40811216831207275,
G-2B,prefix,10,0.41323575377464294,
G-2B,prefix,20,0.4365043640136719,
G-2B,suffix,0,0.406269371509552,
G-2B,suffix,1,0.4020523726940155,
G-2B,suffix,3,0.4023761451244354,
G-2B,suffix,5,0.42084068059921265,
G-2B,suffix,10,0.4490405321121216,
G-2B,suffix,20,0.43523332476615906,
G-2B,global,0,0.406269371509552,
G-2B,global,1,0.3983039855957031,
G-2B,global,3,0.4055415391921997,
G-2B,global,5,0.4129747748374939,
G-2B,global,10,0.4497041702270508,
G-2B,global,20,0.46838971972465515,
