model,place,strength,silhouette,asr
L3.2-3B,global,0,0.3843594789505005,0.0859375
L3.2-3B,global,1,0.3762866556644439,0.09375
L3.2-3B,global,5,0.3707851469516754,0.1328125
L3.2-3B,global,20,0.3584993779659271,0.078125
L3.2-3B,global,50,0.3453348278999328,0.0859375
L3.2-3B,global,100,0.4154660105705261,0.0859375
L3.2-3B,prefix,0,0.3843594789505005,0.0859375
L3.2-3B,prefix,1,0.3843594789505005,0.0859375
L3.2-3B,prefix,5,0.3843594789505005,0.0859375
L3.2-3B,prefix,20,0.3843594789505005,0.0859375
L3.2-3B,prefix,50,0.3843594789505005,0.0859375
L3.2-3B,prefix,100,0.3843594789505005,0.0859375
L3.2-3B,suffix,0,0.3843594789505005,0.0859375
L3.2-3B,suffix,1,0.3843594789505005,0.0859375
L3.2-3B,suffix,5,0.3843594789505005,0.0859375
L3.2-3B,suffix,20,0.3843594789505005,0.0859375
L3.2-3B,suffix,50,0.3843594789505005,0.0859375
L3.2-3B,suffix,100,0.3843594789505005,0.0859375
