prompt_id,group,x,y,method,place,strength
0,harmless_baseline,-0.31127855,3.0915089,umap,global,-10
1,harmless_baseline,13.038187,4.9320817,umap,global,-10
2,harmless_baseline,-0.6090694,4.125862,umap,global,-10
3,harmless_baseline,8.853041,5.1512065,umap,global,-10
4,harmless_baseline,10.323523,1.9278764,umap,global,-10
5,harmless_baseline,-0.23218739,4.3492627,umap,global,-10
6,harmless_baseline,0.3908937,3.06039,umap,global,-10
7,harmless_baseline,12.881259,4.9859977,umap,global,-10
8,harmless_baseline,13.408386,5.3925924,umap,global,-10
9,harmless_baseline,-0.46120346,3.1964366,umap,global,-10
10,harmless_baseline,-0.6338101,3.9681726,umap,global,-10
11,harmless_baseline,10.400415,1.9175204,umap,global,-10
12,harmless_baseline,13.288726,4.7453456,umap,global,-10
13,harmless_baseline,0.07054603,3.525226,umap,global,-10
14,harmless_baseline,10.199513,1.8838435,umap,global,-10
15,harmless_baseline,0.068228684,4.0021296,umap,global,-10
16,harmless_baseline,-0.5922583,3.9862385,umap,global,-10
17,harmless_baseline,10.241367,1.8800927,umap,global,-10
18,harmless_baseline,-0.06200261,3.0146863,umap,global,-10
19,harmless_baseline,10.228651,1.8506924,umap,global,-10
20,harmless_baseline,-0.24368437,3.2285173,umap,global,-10
21,harmless_baseline,10.034251,2.0573463,umap,global,-10
22,harmless_baseline,10.11067,1.8569754,umap,global,-10
23,harmless_baseline,-0.10649441,2.663145,umap,global,-10
24,harmless_baseline,0.10687643,3.3248632,umap,global,-10
25,harmless_baseline,13.360473,4.8864,umap,global,-10
26,harmless_baseline,0.12184475,2.919714,umap,global,-10
27,harmless_baseline,0.052733675,2.0520558,umap,global,-10
28,harmless_baseline,-0.930716,3.9644678,umap,global,-10
29,harmless_baseline,10.361227,2.2589326,umap,global,-10
30,harmless_baseline,-1.2748938,5.5710106,umap,global,-10
31,harmless_baseline,10.332107,2.3132625,umap,global,-10
32,harmless_baseline,0.21936296,3.4260333,umap,global,-10
33,harmless_baseline,13.055528,4.9738393,umap,global,-10
34,harmless_baseline,-0.31876674,3.8936245,umap,global,-10
35,harmless_baseline,12.104932,4.651277,umap,global,-10
36,harmless_baseline,-0.16002485,4.2450585,umap,global,-10
37,harmless_baseline,10.332411,1.7908009,umap,global,-10
38,harmless_baseline,-0.4940452,4.142809,umap,global,-10
39,harmless_baseline,12.152017,4.699099,umap,global,-10
40,harmless_baseline,10.156744,1.7137518,umap,global,-10
41,harmless_baseline,0.047642786,2.8664167,umap,global,-10
42,harmless_baseline,-0.92079365,3.9741144,umap,global,-10
43,harmless_baseline,12.782013,4.732308,umap,global,-10
44,harmless_baseline,13.104503,1.9001817,umap,global,-10
45,harmless_baseline,0.0068753688,2.7482617,umap,global,-10
46,harmless_baseline,12.993461,4.7371974,umap,global,-10
47,harmless_baseline,-0.31889638,3.0287795,umap,global,-10
48,harmless_baseline,13.344292,4.842519,umap,global,-10
49,harmless_baseline,0.36195713,2.8212621,umap,global,-10
50,harmless_baseline,-0.007411555,2.1939409,umap,global,-10
51,harmless_baseline,-0.096287765,2.7738056,umap,global,-10
52,harmless_baseline,-0.37886366,3.0914605,umap,global,-10
