prompt_id,group,x,y,method,place,strength
0,harmless_baseline,-11.272966,22.550617,pca,global,-10
1,harmless_baseline,-21.829586,-2.4783177,pca,global,-10
2,harmless_baseline,-12.949022,32.132126,pca,global,-10
3,harmless_baseline,-23.679934,-20.121153,pca,global,-10
4,harmless_baseline,-21.302256,6.2075443,pca,global,-10
5,harmless_baseline,-12.966186,36.478695,pca,global,-10
6,harmless_baseline,-13.318735,19.482653,pca,global,-10
7,harmless_baseline,-20.88557,-5.3803344,pca,global,-10
8,harmless_baseline,-17.752205,-7.733517,pca,global,-10
9,harmless_baseline,-11.821792,27.948984,pca,global,-10
10,harmless_baseline,-11.377549,30.17254,pca,global,-10
11,harmless_baseline,-13.615345,1.7562404,pca,global,-10
12,harmless_baseline,-18.294703,-3.3982348,pca,global,-10
13,harmless_baseline,-12.522761,22.017557,pca,global,-10
14,harmless_baseline,-21.493267,4.3649015,pca,global,-10
15,harmless_baseline,-12.564803,32.002087,pca,global,-10
16,harmless_baseline,-9.250574,27.064579,pca,global,-10
17,harmless_baseline,-21.888954,4.1160326,pca,global,-10
18,harmless_baseline,-13.973605,27.270636,pca,global,-10
19,harmless_baseline,-20.677162,4.703725,pca,global,-10
20,harmless_baseline,-15.331338,23.15661,pca,global,-10
21,harmless_baseline,-20.853539,3.8580449,pca,global,-10
22,harmless_baseline,-21.643143,5.9782066,pca,global,-10
23,harmless_baseline,-12.092141,17.787886,pca,global,-10
24,harmless_baseline,-13.936581,23.125868,pca,global,-10
25,harmless_baseline,-15.106097,-1.583333,pca,global,-10
26,harmless_baseline,-13.635481,18.094023,pca,global,-10
27,harmless_baseline,-14.480903,26.065907,pca,global,-10
28,harmless_baseline,-12.11486,31.376617,pca,global,-10
29,harmless_baseline,-18.434446,8.215134,pca,global,-10
30,harmless_baseline,4.0828776,16.532255,pca,global,-10
31,harmless_baseline,-18.43138,8.217146,pca,global,-10
32,harmless_baseline,-8.884646,21.869663,pca,global,-10
33,harmless_baseline,-20.276281,-6.5662847,pca,global,-10
34,harmless_baseline,-11.260494,28.689993,pca,global,-10
35,harmless_baseline,-23.606619,-8.026258,pca,global,-10
36,harmless_baseline,-9.4842,35.209927,pca,global,-10
37,harmless_baseline,-20.669355,4.332195,pca,global,-10
38,harmless_baseline,-12.057989,32.185722,pca,global,-10
39,harmless_baseline,-20.846996,-6.518662,pca,global,-10
40,harmless_baseline,-20.721321,7.92711,pca,global,-10
41,harmless_baseline,-14.4485035,20.546633,pca,global,-10
42,harmless_baseline,-9.277903,28.490686,pca,global,-10
43,harmless_baseline,-21.088442,-7.3476653,pca,global,-10
44,harmless_baseline,-18.85799,10.910339,pca,global,-10
45,harmless_baseline,-13.204886,16.801956,pca,global,-10
46,harmless_baseline,-18.924551,-8.429996,pca,global,-10
47,harmless_baseline,-10.92895,27.182253,pca,global,-10
48,harmless_baseline,-19.930502,-8.083424,pca,global,-10
49,harmless_baseline,-13.343626,20.061272,pca,global,-10
50,harmless_baseline,-14.432829,25.180283,pca,global,-10
51,harmless_baseline,-11.485768,18.845615,pca,global,-10
52,harmless_baseline,-11.336165,27.070023,pca,global,-10
53,harmless_baseline,-19.228266,-3.475726,pca,global,-10
54,harmless_baseline,-12.826254,24.551378,pca,global,-10
55,harmless_baseline,-18.156952,13.87737,pca,global,-10
56,harmless_baseline,-13.107025,32.248436,pca,global,-10
57,harmless_baseline,-15.255773,21.807024,pca,global,-10
58,harmless_baseline,-23.680737,-20.119272,pca,global,-10
59,harmless_baseline,-12.236358,28.772465,pca,global,-10
60,harmless_baseline,-11.513972,33.680653,pca,global,-10
61,harmless_baseline,-22.456547,-8.912528,pca,global,-10
62,harmless_baseline,-11.938846,31.800058,pca,global,-10
63,harmless_baseline,-18.083212,-11.197744,pca,global,-10
64,harmless_baseline,-23.68435,-20.119967,pca,global,-10
65,harmless_baseline,-11.192062,29.831978,pca,global,-10
66,harmless_baseline,-15.309442,-3.236268,pca,global,-10
67,harmless_baseline,-14.032729,35.302776,pca,global,-10
68,harmless_baseline,-15.835066,23.015593,pca,global,-10
69,harmless_baseline,-21.255335,-5.5014877,pca,global,-10
70,harmless_baseline,-13.975473,15.61716,pca,global,-10
71,harmless_baseline,-16.350737,-4.8297396,pca,global,-10
72,harmless_baseline,-12.868181,31.255165,pca,global,-10
73,harmless_baseline,-19.311451,-2.7411957,pca,global,-10
74,harmless_baseline,-14.220182,35.465927,pca,global,-10
75,harmless_baseline,-20.112133,-5.831366,pca,global,-10
76,harmless_baseline,-10.107609,35.428814,pca,global,-10
77,harmless_baseline,-18.744337,-4.7287536,pca,global,-10
78,harmless_baseline,-12.378857,29.718605,pca,global,-10
79,harmless_baseline,-14.110628,25.843168,pca,global,-10
80,harmless_baseline,-13.295251,22.984497,pca,global,-10
81,harmless_baseline,-14.593596,15.474865,pca,global,-10
82,harmless_baseline,-12.15463,36.49236,pca,global,-10
83,harmless_baseline,-18.679485,-4.1001315,pca,global,-10
84,harmless_baseline,-23.680737,-20.119272,pca,global,-10
85,harmless_baseline,-12.621117,36.614914,pca,global,-10
86,harmless_baseline,-12.757777,34.01109,pca,global,-10
87,harmless_baseline,-14.882506,-5.267034,pca,global,-10
88,harmless_baseline,-9.293997,15.238196,pca,global,-10
89,harmless_baseline,-14.628095,27.131563,pca,global,-10
90,harmless_baseline,-23.037891,-2.1164834,pca,global,-10
91,harmless_baseline,-12.221436,33.60182,pca,global,-10
92,harmless_baseline,-13.7112465,28.635134,pca,global,-10
93,harmless_baseline,-22.624496,-7.0565095,pca,global,-10
94,harmless_baseline,-12.504489,37.38761,pca,global,-10
95,harmless_baseline,-23.201605,-5.2172055,pca,global,-10
96,harmless_baseline,-20.698666,7.3200502,pca,global,-10
97,harmless_baseline,-10.104496,23.314112,pca,global,-10
98,harmless_baseline,-11.54885,36.800674,pca,global,-10
99,harmless_baseline,-23.680737,-20.119272,pca,global,-10
100,harmless_baseline,-13.363305,22.896376,pca,global,-10
101,harmless_baseline,-19.225159,-3.4729676,pca,global,-10
102,harmless_baseline,-15.046224,17.828772,pca,global,-10
103,harmless_baseline,-15.233493,24.001001,pca,global,-10
104,harmless_baseline,-13.314006,33.798912,pca,global,-10
105,harmless_baseline,-18.702116,-4.4815083,pca,global,-10
106,harmless_baseline,-15.695526,-5.3135896,pca,global,-10
107,harmless_baseline,-13.992926,30.930063,pca,global,-10
108,harmless_baseline,-11.95644,31.657772,pca,global,-10
109,harmless_baseline,-22.456547,-8.912528,pca,global,-10
110,harmless_baseline,-14.317902,25.423801,pca,global,-10
111,harmless_baseline,-21.845,-3.517941,pca,global,-10
112,harmless_baseline,-12.666963,17.857687,pca,global,-10
113,harmless_baseline,-21.669226,6.5331807,pca,global,-10
114,harmless_baseline,-16.552359,-4.749857,pca,global,-10
115,harmless_baseline,-7.231148,22.700872,pca,global,-10
116,harmless_baseline,-9.99305,20.080076,pca,global,-10
117,harmless_baseline,-23.680737,-20.119272,pca,global,-10
118,harmless_baseline,-23.680737,-20.119272,pca,global,-10
119,harmless_baseline,-15.085832,24.465813,pca,global,-10
120,harmless_baseline,-13.509242,3.6971824,pca,global,-10
121,harmless_baseline,-11.111003,26.719364,pca,global,-10
122,harmless_baseline,-22.455488,-8.9095955,pca,global,-10
123,harmless_baseline,-13.215376,23.326164,pca,global,-10
124,harmless_baseline,-20.270136,-3.448976,pca,global,-10
125,harmless_baseline,-10.209077,32.0372,pca,global,-10
126,harmless_baseline,-16.378103,20.11137,pca,global,-10
127,harmless_baseline,-14.084853,23.883144,pca,global,-10
0,harmful_baseline,-19.802559,1.6052116,pca,global,-10
1,harmful_baseline,28.461653,-4.7450857,pca,global,-10
2,harmful_baseline,-15.133599,-8.57633,pca,global,-10
3,harmful_baseline,18.257587,4.777624,pca,global,-10
4,harmful_baseline,22.897083,1.3196038,pca,global,-10
5,harmful_baseline,-12.6564245,-5.7080607,pca,global,-10
6,harmful_baseline,-14.023851,14.729972,pca,global,-10
7,harmful_baseline,-20.328472,2.7900705,pca,global,-10
8,harmful_baseline,30.85892,-5.6641445,pca,global,-10
9,harmful_baseline,-19.395184,3.1574883,pca,global,-10
10,harmful_baseline,28.271717,-3.1195633,pca,global,-10
11,harmful_baseline,-17.51765,-9.582414,pca,global,-10
12,harmful_baseline,-22.027018,1.9144098,pca,global,-10
13,harmful_baseline,29.054382,-5.3316174,pca,global,-10
14,harmful_baseline,-21.265358,-7.960027,pca,global,-10
15,harmful_baseline,20.200281,-1.4642289,pca,global,-10
16,harmful_baseline,-18.274603,-10.812131,pca,global,-10
17,harmful_baseline,26.086187,-0.20619562,pca,global,-10
18,harmful_baseline,-18.907534,-4.1794724,pca,global,-10
19,harmful_baseline,26.856356,-2.1001682,pca,global,-10
20,harmful_baseline,23.606733,-2.4222999,pca,global,-10
21,harmful_baseline,-6.6563406,14.605794,pca,global,-10
22,harmful_baseline,30.55176,-5.064233,pca,global,-10
23,harmful_baseline,-17.86336,-4.4854035,pca,global,-10
24,harmful_baseline,-21.239553,2.4734464,pca,global,-10
25,harmful_baseline,27.798536,-3.6534314,pca,global,-10
26,harmful_baseline,-8.954488,15.366829,pca,global,-10
27,harmful_baseline,24.270058,-2.7790897,pca,global,-10
28,harmful_baseline,-20.747276,3.5014174,pca,global,-10
29,harmful_baseline,24.436237,-2.5571666,pca,global,-10
30,harmful_baseline,18.011208,1.1829493,pca,global,-10
31,harmful_baseline,-18.083305,-11.196503,pca,global,-10
32,harmful_baseline,-16.325624,-8.17988,pca,global,-10
33,harmful_baseline,23.957108,-0.258613,pca,global,-10
34,harmful_baseline,-11.701442,-3.5056767,pca,global,-10
35,harmful_baseline,26.585558,-4.6809926,pca,global,-10
36,harmful_baseline,23.632696,-7.113571,pca,global,-10
37,harmful_baseline,26.618593,-3.8146667,pca,global,-10
38,harmful_baseline,24.349615,-1.1902057,pca,global,-10
39,harmful_baseline,-19.227747,2.578238,pca,global,-10
40,harmful_baseline,-15.166052,-6.36413,pca,global,-10
41,harmful_baseline,25.736324,0.36041772,pca,global,-10
42,harmful_baseline,27.519646,-4.586275,pca,global,-10
43,harmful_baseline,-14.315261,-10.060296,pca,global,-10
44,harmful_baseline,27.485027,-5.497259,pca,global,-10
45,harmful_baseline,-20.622889,1.1853529,pca,global,-10
46,harmful_baseline,-15.009243,-9.039293,pca,global,-10
47,harmful_baseline,24.88906,-4.309141,pca,global,-10
48,harmful_baseline,24.070831,0.48498648,pca,global,-10
49,harmful_baseline,-19.98192,3.7158217,pca,global,-10
50,harmful_baseline,-19.108625,-0.44126987,pca,global,-10
51,harmful_baseline,-13.215282,12.391898,pca,global,-10
52,harmful_baseline,-20.597216,0.6400865,pca,global,-10
53,harmful_baseline,26.219309,-4.7227125,pca,global,-10
54,harmful_baseline,-19.587423,1.6953142,pca,global,-10
55,harmful_baseline,26.686602,-3.9260597,pca,global,-10
