model,place,strength,silhouette,asr
G-2B,prefix,0,0.406269371509552,
G-2B,prefix,10,0.3680126368999481,
G-2B,prefix,25,0.32789507508277893,
G-2B,prefix,50,0.3303861618041992,
G-2B,prefix,75,0.3548683524131775,
G-2B,prefix,100,0.4034404456615448,
G-2B,suffix,0,0.406269371509552,
G-2B,suffix,10,0.3320605456829071,
G-2B,suffix,25,0.33177462220191956,
G-2B,suffix,50,0.3572632968425751,
G-2B,suffix,75,0.328225314617157,
G-2B,suffix,100,0.22026872634887695,
G-2B,global,0,0.406269371509552,
G-2B,global,10,0.3387390077114105,
G-2B,global,25,0.2583443522453308,
G-2B,global,50,0.2983543872833252,
G-2B,global,75,0.25155287981033325,
G-2B,global,100,0.2172427475452423,
