model,place,strength,silhouette,asr
L3.1-8B,prefix,-10,,0.03125
L3.1-8B,prefix,-8,,0.0703125
L3.1-8B,prefix,-6,,0.1484375
L3.1-8B,prefix,-4,,0.125
L3.1-8B,prefix,-2,,0.15625
L3.1-8B,prefix,0,,0.1328125
L3.1-8B,prefix,2,,0.2265625
L3.1-8B,prefix,4,,0.140625
L3.1-8B,prefix,6,,0.1796875
L3.1-8B,prefix,8,,0.1328125
L3.1-8B,prefix,10,,0.125
L3.1-8B,suffix,-10,,0.046875
L3.1-8B,suffix,-8,,0.0859375
L3.1-8B,suffix,-6,,0.09375
L3.1-8B,suffix,-4,,0.0859375
L3.1-8B,suffix,-2,,0.078125
L3.1-8B,suffix,0,,0.1328125
L3.1-8B,suffix,2,,0.0625
L3.1-8B,suffix,4,,0.1015625
L3.1-8B,suffix,6,,0.078125
L3.1-8B,suffix,8,,0.046875
L3.1-8B,suffix,10,,0.0625
L3.1-8B,global,-10,,0.0234375
L3.1-8B,global,-8,,0.046875
L3.1-8B,global,-6,,0.0390625
L3.1-8B,global,-4,,0.0546875
L3.1-8B,global,-2,,0.03125
L3.1-8B,global,0,,0.1328125
L3.1-8B,global,2,,0.1640625
L3.1-8B,global,4,,0.109375
L3.1-8B,global,6,,0.0546875
L3.1-8B,global,8,,0.0859375
L3.1-8B,global,10,,0.046875
