model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity,mirroring_rate
G-7B,global,0,0.9999999990686774,100.00000000000004,0.9999999701976776,0.0,0.0,,0.9999732971191406,0.0
G-7B,global,1,0.9701789310202004,76.21636493669362,0.9773324877023696,0.4393672943115234,0.0063323974609375,,0.9066920280456544,0.0
G-7B,global,3,0.9288014201447368,64.1585404422201,0.9640717953443528,1.2837181091308594,-0.0167698860168457,,0.8269367218017578,0.0
G-7B,global,5,0.8968775980174541,30.29914625534624,0.9300878494977952,3.871105194091797,-0.0607745647430419,,0.8014385104179382,0.0
G-7B,global,10,0.8576809875667095,17.10015012968685,0.8830289989709854,10.165172576904297,-0.1501703262329101,,0.776879072189331,0.0
G-7B,global,20,0.8179824692197144,18.582818123689165,0.8832494467496872,12.110424041748049,-0.1960725784301757,,0.7780346870422363,0.0
G-7B,prefix,0,0.9999999990686774,100.00000000000004,0.9999999701976776,0.0,0.0,,0.9999732971191406,0.0
G-7B,prefix,1,0.9838481754995884,50.151357209324885,0.9575012177228928,0.7046260833740234,-0.0143570899963378,,0.9905738830566406,0.0
G-7B,prefix,3,0.9701899788342416,52.78546084129602,0.9499429762363434,1.403085708618164,-0.0404696464538574,,0.9204559326171876,0.0
G-7B,prefix,5,0.9588103517889977,47.145692229412944,0.94004125893116,2.2244129180908203,-0.061230182647705,,0.8681793212890625,0.0
G-7B,prefix,10,0.9338934579864144,53.8942204070376,0.9582736790180206,3.675473213195801,-0.0907213687896728,,0.8448548316955566,0.0
G-7B,prefix,20,0.8982656155712903,22.69163996641808,0.9004525244235992,6.020790100097656,-0.1291041374206543,,0.7886886596679688,0.0
G-7B,suffix,0,0.9999999990686774,100.00000000000004,0.9999999701976776,0.0,0.0,,0.9999732971191406,0.0
G-7B,suffix,1,0.9866584399715066,75.93707040122601,0.9851029962301254,0.943084716796875,-0.0064473152160644,,0.8792304396629333,0.0
G-7B,suffix,3,0.9727116995491089,59.3661472771498,0.9569884091615676,2.1279220581054688,-0.0168862342834472,,0.8594183921813965,0.0
G-7B,suffix,5,0.9608345171436669,45.16617958247657,0.9375997483730316,3.2939224243164062,-0.041053295135498,,0.8535432815551758,0.0
G-7B,suffix,10,0.9373966581188142,42.62077379802337,0.9375871568918228,5.406614303588867,-0.0867128372192382,,0.8161605000495911,0.0
G-7B,suffix,20,0.9004028043709695,32.62713925491117,0.9278422892093658,7.861629486083984,-0.1274070739746093,,0.8063185214996338,0.0
