model,place,strength,silhouette,asr,style_family,surface_style
G-7B,prefix,0,,0.0703125,surface_noise,letter_case
G-7B,prefix,10,,0.140625,surface_noise,letter_case
G-7B,prefix,25,,0.125,surface_noise,letter_case
G-7B,prefix,50,,0.140625,surface_noise,letter_case
G-7B,prefix,75,,0.1484375,surface_noise,letter_case
G-7B,prefix,100,,0.171875,surface_noise,letter_case
G-7B,suffix,0,,0.0703125,surface_noise,letter_case
G-7B,suffix,10,,0.140625,surface_noise,letter_case
G-7B,suffix,25,,0.0859375,surface_noise,letter_case
G-7B,suffix,50,,0.1328125,surface_noise,letter_case
G-7B,suffix,75,,0.1015625,surface_noise,letter_case
G-7B,suffix,100,,0.1484375,surface_noise,letter_case
G-7B,global,0,,0.0703125,surface_noise,letter_case
G-7B,global,10,,0.140625,surface_noise,letter_case
G-7B,global,25,,0.125,surface_noise,letter_case
G-7B,global,50,,0.1484375,surface_noise,letter_case
G-7B,global,75,,0.1328125,surface_noise,letter_case
G-7B,global,100,,0.1171875,surface_noise,letter_case
