model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,jsd_drift,mirroring_verdict,mirroring_length_ratio,mirroring_expected_ratio,mirroring_rate_batch,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_jsd_drift,delta_mirroring_rate
L3.2-3B,0,global,0.25,trivia_qa,What general name is given to a rotating star which emits a regular beat of radiation?,What is a pulsar?,0.8707419633865356,"rotating star which emits a regular beat of radiation?assistant

A rotating star that emits a regular beat of radiation is commonly known as a Cepheid variable star.","assistant

A pulsar is a type of celestial object that is a rapidly rotating, highly magnetized neutron star. Neutron stars are incredibly dense objects formed from the remnants of massive stars that have undergone a supernova explosion. Pulsars are characterized by their extremely strong magnetic fields and rapid rotation periods, which can range from a few milliseconds to several seconds.

Pulsars emit electromagnetic radiation, including radio waves, X-rays, and gamma rays, in a beam that sweeps through space as the star rotates.",1.5627861867253512,0.8418859243392944,0.69189453125,-68.4375,0.937744140625,,NO,3.4220779220779223,0.25,0.0625,0.0,-98.4372138132747,-0.12925803661346436,-0.15811407566070557,-0.30810546875,,-1.0
L3.2-3B,1,global,0.25,trivia_qa,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",Which operetta has 'The Witches Curse'?,0.9095783829689026,"is sub titled 'The Witches Curse""""?""assistant

I am unable to verify which Gilbert and Sullivan operetta is sub titled 'The Witches Curse'.","I couldn't find any information about an operetta with ""The Witches Curse"" as its title. However, I did find an opera called ""The Witches of Venice"" (Italian: ""Le streghe di Venezia"") by Gaetano Donizetti, which premiered in 1831.",3.5934005135957903,0.8421592116355896,0.8388671875,-26.3125,0.6240234375,,NO,1.796875,0.25,0.0625,0.0,-96.40659948640425,-0.09042161703109741,-0.15784072875976562,-0.1611328125,,-1.0
L3.2-3B,2,global,0.25,trivia_qa,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,Which cricketer took 10 for 53?,0.9365034699440002,"53 against Australia 1956?assistant

I am unable to verify the English cricketer who took 10 wickets for 53 against Australia in 1956.","I'd be happy to try and help you with that. However, I need a bit more information. There are many cricketers who have taken 10 wickets in an innings, so it's difficult to pinpoint one without more context.

Could you please provide more details, such as:

* The country or league the cricketer played in
* The year the match took place
* The team the cricketer played for
* Any other relevant information

This will help me narrow",1.281613241033931,0.8405605554580688,0.60986328125,-20.375,0.4013671875,,NO,3.5040650406504064,0.25,0.0625,0.0,-98.7183867589661,-0.0634964108467102,-0.15943944454193115,-0.3896484375,,-1.0
L3.2-3B,3,global,0.25,trivia_qa,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Who wrote ‘A Kid For Two…’?,0.8895519375801086,"For Two….’what’?assistant

I couldn't find any information on a novel called ""A Kid For Two…."" written by Wolf Mankowitz.",I couldn't find any information on a well-known work titled 'A Kid For Two'. Could you provide more context or details about the work you are referring to? This will help me provide a more accurate answer.,16.63603558532716,0.8723804354667664,0.83837890625,-45.3125,0.22265625,,NO,1.8636363636363635,0.25,0.0625,0.0,-83.36396441467288,-0.11044788360595703,-0.12761956453323364,-0.16162109375,,-1.0
L3.2-3B,4,global,0.25,trivia_qa,Who is the patron saint of dancers?,Who is the saint of dancers?,0.9831337928771973,"16 Apr 2026

user

Who is the patron saint of dancers?assistant

The patron saint of dancers is Saint Teresa of Ávila.","assistant

The patron saint of dancers is Saint Teresa of Ávila. She was a Spanish mystic and Carmelite nun who lived in the 16th century. Saint Teresa of Ávila is often invoked by dancers, particularly ballet dancers, as a patron saint due to her association with the arts and her spiritual guidance.",21.27988282044162,0.87397700548172,0.94580078125,6.125,0.09765625,,NO,2.843137254901961,0.25,0.0625,0.0,-78.72011717955843,-0.01686614751815796,-0.12602311372756958,-0.05419921875,,-1.0
L3.2-3B,5,global,0.25,trivia_qa,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",Who authored the Communist Manifesto?,0.9163095951080322,"for the Communist Manifesto?assistant

The Communist Manifesto was published on February 21, 1848, by Karl Marx and Friedrich Engels.","assistant

The Communist Manifesto was authored by Karl Marx and Friedrich Engels. It was first published in 1848.",40.142754193450884,0.9393452405929565,0.83154296875,-17.125,0.2177734375,,NO,0.8442622950819673,0.25,0.0625,0.0,-59.85724580654916,-0.08369022607803345,-0.06065487861633301,-0.16845703125,,-1.0
L3.2-3B,6,global,0.25,trivia_qa,The fortified wine drink Sherry is named after what town?,What town is Sherry named after?,0.9094355702400208,"user

The fortified wine drink Sherry is named after what town?assistant

The fortified wine drink Sherry is named after the town of Jerez in Spain.","assistant

I'm not aware of a specific town that is directly named after a person named Sherry. However, there are several places named after the word ""sherry"" or ""sherry"" in the English-speaking world. 

One possibility is the town of Sherry in New South Wales, Australia.",5.606663979055237,0.8600000739097595,0.6728515625,-43.125,0.22705078125,,NO,2.0,0.25,0.0625,0.0,-94.3933360209448,-0.09056437015533447,-0.1399998664855957,-0.3271484375,,-1.0
L3.2-3B,7,global,0.25,trivia_qa,The nickname for Dumfries became the name of which Scottish football club?,Which football club?,0.8841023445129395,"Dumfries became the name of which Scottish football club?assistant

I am unable to verify the Scottish football club nicknamed Dumfries.","club?assistant

I don't have enough information to determine which football club you are referring to. Could you please provide more context or clarify which football club you are asking about?",9.735849857024903,0.8609704375267029,0.458740234375,-45.8125,0.5673828125,,NO,1.456,0.25,0.0625,0.0,-90.26415014297514,-0.11589759588241577,-0.13902968168258667,-0.541259765625,,-1.0
L3.2-3B,8,global,0.25,trivia_qa,The revolutionary group the Sandinistas were active in which country?,Which country had the Sandinistas?,0.9129888415336609,"The revolutionary group the Sandinistas were active in which country?assistant

The Sandinistas were a revolutionary group active in Nicaragua.","assistant

The Sandinistas were a socialist government in Nicaragua. They were led by Daniel Ortega, who was the President of Nicaragua from 1979 to 1990 and again from 2007 to 2022. The Sandinistas were a socialist movement that came to power in Nicaragua in 1979, following a revolution that overthrew the Somoza dictatorship.",9.195375176470087,0.865233302116394,0.8818359375,-29.03125,0.0458984375,,NO,2.4015151515151514,0.25,0.0625,0.0,-90.80462482352996,-0.08701103925704956,-0.13476669788360596,-0.11767578125,,-1.0
L3.2-3B,9,global,0.25,trivia_qa,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,Who lost to Livingstone?,0.8834672570228577,"two elections for Mayor of London?assistant

I am unable to verify who the conservative candidate was beaten by Ken Livingstone in the first two elections for Mayor of London.","assistant

I don't have enough information to determine who lost to Livingstone. Could you please provide more context or specify which Livingstone you are referring to? There are several notable individuals with that name, such as David Livingstone, Henry Morton Stanley, or other historical figures.",1.9543738309112921,0.8426471948623657,0.55712890625,-56.9375,0.771484375,,NO,1.7682926829268293,0.25,0.0625,0.0,-98.04562616908875,-0.11653262376785278,-0.1573527455329895,-0.44384765625,,-1.0
