model,place,strength,silhouette,asr
G-7B,prefix,0,0.49942100048065186,
G-7B,prefix,1,0.6344410181045532,
G-7B,prefix,3,0.5762516856193542,
G-7B,prefix,5,0.6546814441680908,
G-7B,prefix,10,0.7336102724075317,
G-7B,prefix,20,0.7480120658874512,
G-7B,suffix,0,0.49942100048065186,
G-7B,suffix,1,0.6251817941665649,
G-7B,suffix,3,0.5498225688934326,
G-7B,suffix,5,0.6330601572990417,
G-7B,suffix,10,0.7039021849632263,
G-7B,suffix,20,0.7709519267082214,
G-7B,global,0,0.49942100048065186,
G-7B,global,1,0.635225236415863,
G-7B,global,3,0.5887481570243835,
G-7B,global,5,0.7412665486335754,
G-7B,global,10,0.7109678983688354,
G-7B,global,20,0.7682280540466309,
