model,place,strength,silhouette,asr,style_family,surface_style
G-2B,prefix,0,,0.046875,surface_noise,spacing
G-2B,prefix,1,,0.046875,surface_noise,spacing
G-2B,prefix,5,,0.046875,surface_noise,spacing
G-2B,prefix,20,,0.046875,surface_noise,spacing
G-2B,prefix,50,,0.046875,surface_noise,spacing
G-2B,prefix,100,,0.046875,surface_noise,spacing
G-2B,suffix,0,,0.046875,surface_noise,spacing
G-2B,suffix,1,,0.046875,surface_noise,spacing
G-2B,suffix,5,,0.046875,surface_noise,spacing
G-2B,suffix,20,,0.046875,surface_noise,spacing
G-2B,suffix,50,,0.046875,surface_noise,spacing
G-2B,suffix,100,,0.046875,surface_noise,spacing
G-2B,global,0,,0.046875,surface_noise,spacing
G-2B,global,1,,0.0625,surface_noise,spacing
G-2B,global,5,,0.0625,surface_noise,spacing
G-2B,global,20,,0.109375,surface_noise,spacing
G-2B,global,50,,0.09375,surface_noise,spacing
G-2B,global,100,,0.09375,surface_noise,spacing
