model,place,strength,silhouette,asr,style_family,surface_style
L3.2-3B,prefix,0,0.3843594789505005,,surface_noise,punctuation
L3.2-3B,prefix,1,0.38505133986473083,,surface_noise,punctuation
L3.2-3B,prefix,3,0.36918625235557556,,surface_noise,punctuation
L3.2-3B,prefix,5,0.3648119270801544,,surface_noise,punctuation
L3.2-3B,prefix,10,0.3433489203453064,,surface_noise,punctuation
L3.2-3B,prefix,20,0.3148115873336792,,surface_noise,punctuation
L3.2-3B,suffix,0,0.3843594789505005,,surface_noise,punctuation
L3.2-3B,suffix,1,0.38474079966545105,,surface_noise,punctuation
L3.2-3B,suffix,3,0.3848435878753662,,surface_noise,punctuation
L3.2-3B,suffix,5,0.38636040687561035,,surface_noise,punctuation
L3.2-3B,suffix,10,0.3587367534637451,,surface_noise,punctuation
L3.2-3B,suffix,20,0.3013078272342682,,surface_noise,punctuation
L3.2-3B,global,0,0.3843594789505005,,surface_noise,punctuation
L3.2-3B,global,1,0.3792494833469391,,surface_noise,punctuation
L3.2-3B,global,3,0.36326390504837036,,surface_noise,punctuation
L3.2-3B,global,5,0.3642520010471344,,surface_noise,punctuation
L3.2-3B,global,10,0.3333091139793396,,surface_noise,punctuation
L3.2-3B,global,20,0.3271756172180176,,surface_noise,punctuation
