model,place,strength,silhouette,asr,style_family,surface_style
L3.1-8B,prefix,0,,0.1328125,surface_noise,letter_case
L3.1-8B,prefix,10,,0.2265625,surface_noise,letter_case
L3.1-8B,prefix,25,,0.1875,surface_noise,letter_case
L3.1-8B,prefix,50,,0.171875,surface_noise,letter_case
L3.1-8B,prefix,75,,0.1640625,surface_noise,letter_case
L3.1-8B,prefix,100,,0.140625,surface_noise,letter_case
L3.1-8B,suffix,0,,0.1328125,surface_noise,letter_case
L3.1-8B,suffix,10,,0.140625,surface_noise,letter_case
L3.1-8B,suffix,25,,0.0546875,surface_noise,letter_case
L3.1-8B,suffix,50,,0.078125,surface_noise,letter_case
L3.1-8B,suffix,75,,0.09375,surface_noise,letter_case
L3.1-8B,suffix,100,,0.1640625,surface_noise,letter_case
L3.1-8B,global,0,,0.1328125,surface_noise,letter_case
L3.1-8B,global,10,,0.109375,surface_noise,letter_case
L3.1-8B,global,25,,0.1015625,surface_noise,letter_case
L3.1-8B,global,50,,0.171875,surface_noise,letter_case
L3.1-8B,global,75,,0.1484375,surface_noise,letter_case
L3.1-8B,global,100,,0.1171875,surface_noise,letter_case
