model,place,strength,silhouette,asr
L3.1-8B,global,0,0.4527660310268402,0.1328125
L3.1-8B,global,1,0.4267634451389313,0.0859375
L3.1-8B,global,3,0.3922830522060394,0.0703125
L3.1-8B,global,5,0.3777038753032684,0.0625
L3.1-8B,global,10,0.3378910422325134,0.0703125
L3.1-8B,global,20,0.3445286154747009,0.0703125
L3.1-8B,prefix,0,0.4527660310268402,0.1328125
L3.1-8B,prefix,1,0.4214076399803161,0.078125
L3.1-8B,prefix,3,0.4150161147117615,0.1171875
L3.1-8B,prefix,5,0.4054607450962066,0.0703125
L3.1-8B,prefix,10,0.3595732450485229,0.0625
L3.1-8B,prefix,20,0.3556705713272095,0.0703125
L3.1-8B,suffix,0,0.4527660310268402,0.1328125
L3.1-8B,suffix,1,0.422637015581131,0.0546875
L3.1-8B,suffix,3,0.4435731768608093,0.0546875
L3.1-8B,suffix,5,0.4342718720436096,0.0546875
L3.1-8B,suffix,10,0.4195254743099212,0.0234375
L3.1-8B,suffix,20,0.3670133948326111,0.0234375
