model,place,strength,silhouette,asr
Q2.5-7B,global,0,0.4630896747112274,0.0234375
Q2.5-7B,global,1,0.4469316005706787,0.046875
Q2.5-7B,global,3,0.4562983810901642,0.0234375
Q2.5-7B,global,5,0.4331275820732116,0.0390625
Q2.5-7B,global,10,0.4266433119773865,0.0
Q2.5-7B,global,20,0.3925351202487945,0.0078125
Q2.5-7B,prefix,0,0.4630896747112274,0.0234375
Q2.5-7B,prefix,1,0.4569684267044067,0.0078125
Q2.5-7B,prefix,3,0.4396342635154724,0.0
Q2.5-7B,prefix,5,0.4326131939888,0.0390625
Q2.5-7B,prefix,10,0.4214941561222076,0.0078125
Q2.5-7B,prefix,20,0.3974640071392059,0.0390625
Q2.5-7B,suffix,0,0.4630896747112274,0.0234375
Q2.5-7B,suffix,1,0.4550492167472839,0.0078125
Q2.5-7B,suffix,3,0.481590986251831,0.0078125
Q2.5-7B,suffix,5,0.4739053547382355,0.0234375
Q2.5-7B,suffix,10,0.461819589138031,0.0
Q2.5-7B,suffix,20,0.4006915986537933,0.0078125
