model,place,strength,silhouette,asr,style_family,surface_style
L3.1-8B,prefix,0,0.4527660310268402,,surface_noise,spacing
L3.1-8B,prefix,1,0.4527660310268402,,surface_noise,spacing
L3.1-8B,prefix,5,0.4527660310268402,,surface_noise,spacing
L3.1-8B,prefix,20,0.4527660310268402,,surface_noise,spacing
L3.1-8B,prefix,50,0.4527660310268402,,surface_noise,spacing
L3.1-8B,prefix,100,0.4527660310268402,,surface_noise,spacing
L3.1-8B,suffix,0,0.4527660310268402,,surface_noise,spacing
L3.1-8B,suffix,1,0.4527660310268402,,surface_noise,spacing
L3.1-8B,suffix,5,0.4527660310268402,,surface_noise,spacing
L3.1-8B,suffix,20,0.4527660310268402,,surface_noise,spacing
L3.1-8B,suffix,50,0.4527660310268402,,surface_noise,spacing
L3.1-8B,suffix,100,0.4527660310268402,,surface_noise,spacing
L3.1-8B,global,0,0.4527660310268402,,surface_noise,spacing
L3.1-8B,global,1,0.418676495552063,,surface_noise,spacing
L3.1-8B,global,5,0.43292129039764404,,surface_noise,spacing
L3.1-8B,global,20,0.42071279883384705,,surface_noise,spacing
L3.1-8B,global,50,0.44255658984184265,,surface_noise,spacing
L3.1-8B,global,100,0.4965095818042755,,surface_noise,spacing
