model,place,strength,silhouette,asr,style_family,surface_style
Q2.5-1.5B,prefix,0,0.5387461185455322,,surface_noise,spacing
Q2.5-1.5B,prefix,1,0.5432684421539307,,surface_noise,spacing
Q2.5-1.5B,prefix,5,0.5088024139404297,,surface_noise,spacing
Q2.5-1.5B,prefix,20,0.504423975944519,,surface_noise,spacing
Q2.5-1.5B,prefix,50,0.5064775347709656,,surface_noise,spacing
Q2.5-1.5B,prefix,100,0.5660784244537354,,surface_noise,spacing
Q2.5-1.5B,suffix,0,0.5387461185455322,,surface_noise,spacing
Q2.5-1.5B,suffix,1,0.5002206563949585,,surface_noise,spacing
Q2.5-1.5B,suffix,5,0.5008846521377563,,surface_noise,spacing
Q2.5-1.5B,suffix,20,0.500619113445282,,surface_noise,spacing
Q2.5-1.5B,suffix,50,0.5010796189308167,,surface_noise,spacing
Q2.5-1.5B,suffix,100,0.5658831596374512,,surface_noise,spacing
Q2.5-1.5B,global,0,0.5387461185455322,,surface_noise,spacing
Q2.5-1.5B,global,1,0.5039092898368835,,surface_noise,spacing
Q2.5-1.5B,global,5,0.6022008657455444,,surface_noise,spacing
Q2.5-1.5B,global,20,0.5888044834136963,,surface_noise,spacing
Q2.5-1.5B,global,50,0.5727193355560303,,surface_noise,spacing
Q2.5-1.5B,global,100,0.564441978931427,,surface_noise,spacing
