model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,jsd_drift,mirroring_verdict,mirroring_debug
L3.1-8B,0,prefix,0,natural_questions,who did deion sanders go in the hall of fame as,who did deion sanders go in the hall of fame as,1.0,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,100.00000000000004,0.9999998807907104,1.0,0.0,0.0,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
L3.1-8B,1,prefix,0,natural_questions,what is the title of the person who runs the house of representatives,what is the title of the person who runs the house of representatives,1.0,The title of the person who runs the House of Representatives is the Speaker of the House.,The title of the person who runs the House of Representatives is the Speaker of the House.,100.00000000000004,1.0,1.0,0.0,0.0,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
L3.1-8B,2,prefix,0,natural_questions,why did france decide to aid the united states in its war for independence,why did france decide to aid the united states in its war for independence,1.0,"France's decision to aid the United States in its war for independence was a complex and multifaceted one, driven by a combination of strategic, economic, and ideological factors. Here are some key reasons:

1.  **Enmity towards Britain**: France had a long-standing rivalry with Britain, dating back to the 17th century. The two nations had clashed over trade, territory, and influence in North America, and France saw an opportunity to weaken its arch-rival by supporting the American","France's decision to aid the United States in its war for independence was a complex and multifaceted one, driven by a combination of strategic, economic, and ideological factors. Here are some key reasons:

1.  **Enmity towards Britain**: France had a long-standing rivalry with Britain, dating back to the 17th century. The two nations had clashed over trade, territory, and influence in North America, and France saw an opportunity to weaken its arch-rival by supporting the American",100.00000000000004,0.9999999403953552,0.99951171875,0.0,0.0,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
L3.1-8B,3,prefix,0,natural_questions,yo la tengo theres a riot going on release date,yo la tengo theres a riot going on release date,1.0000001192092896,"assistant

I couldn't find any information on a song or album by Yo La Tengo titled ""Theres a Riot Going On"".","assistant

I couldn't find any information on a song or album by Yo La Tengo titled ""Theres a Riot Going On"".",100.00000000000004,1.0000001192092896,0.99951171875,0.0,0.0,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
L3.1-8B,0,prefix,1,natural_questions,who did deion sanders go in the hall of fame as,.who did deion sanders go in the hall of fame as,0.9895665049552916,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,100.00000000000004,0.9999998807907104,0.990234375,-0.0771484375,-0.0118408203125,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
L3.1-8B,1,prefix,1,natural_questions,what is the title of the person who runs the house of representatives,",what is the title of the person who runs the house of representatives",0.9895281195640564,The title of the person who runs the House of Representatives is the Speaker of the House.,The title of the person who runs the House of Representatives is the Speaker of the House.,100.00000000000004,1.0,0.97509765625,0.0947265625,0.006591796875,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
L3.1-8B,2,prefix,1,natural_questions,why did france decide to aid the united states in its war for independence,)why did france decide to aid the united states in its war for independence,0.9902689456939696,"France's decision to aid the United States in its war for independence was a complex and multifaceted one, driven by a combination of strategic, economic, and ideological factors. Here are some key reasons:

1.  **Enmity towards Britain**: France had a long-standing rivalry with Britain, dating back to the 17th century. The two nations had clashed over trade, territory, and influence in North America, and France saw an opportunity to weaken its arch-rival by supporting the American","France's decision to aid the United States in its war for independence was a complex and multifaceted one, driven by a combination of strategic, economic, and ideological factors. Here are some of the key reasons:

1.  **Enmity towards Britain**: France had a long-standing rivalry with Britain, dating back to the 17th century. The two nations had been at odds over issues such as trade, territory, and colonial expansion. France saw the American Revolution as an opportunity to weaken",77.26652859947465,0.9751917719841005,0.9970703125,-0.203125,-0.0078125,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
L3.1-8B,3,prefix,1,natural_questions,yo la tengo theres a riot going on release date,",yo la tengo theres a riot going on release date",0.982025384902954,"assistant

I couldn't find any information on a song or album by Yo La Tengo titled ""Theres a Riot Going On"".","assistant

I couldn't find any information on a song or album by Yo La Tengo titled ""Theres a Riot Going On"".",100.00000000000004,1.0000001192092896,0.96826171875,-0.421875,-0.03125,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
L3.1-8B,0,prefix,3,natural_questions,who did deion sanders go in the hall of fame as,!'.who did deion sanders go in the hall of fame as,0.9773866534233092,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,Deion Sanders was inducted into the Pro Football Hall of Fame in 2011.,100.00000000000004,0.9999998807907104,0.25537109375,-0.34375,-0.0224609375,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
L3.1-8B,1,prefix,3,natural_questions,what is the title of the person who runs the house of representatives,(;[what is the title of the person who runs the house of representatives,0.9687421917915344,The title of the person who runs the House of Representatives is the Speaker of the House.,The title of the person who runs the House of Representatives is the Speaker of the House.,100.00000000000004,1.0,0.30029296875,0.15625,0.0240478515625,,NO,"{""orig_extra_punct"": 0, ""styled_extra_punct"": 0, ""increase"": 0, ""orig_rate"": 0.0, ""styled_rate"": 0.0, ""threshold_increase"": 2, ""threshold_rate"": 3}"
