model,place,strength,silhouette,asr,style_family,surface_style
Q2.5-1.5B,prefix,0,,0.1015625,surface_noise,punctuation
Q2.5-1.5B,prefix,1,,0.09375,surface_noise,punctuation
Q2.5-1.5B,prefix,3,,0.0859375,surface_noise,punctuation
Q2.5-1.5B,prefix,5,,0.09375,surface_noise,punctuation
Q2.5-1.5B,prefix,10,,0.1015625,surface_noise,punctuation
Q2.5-1.5B,prefix,20,,0.09375,surface_noise,punctuation
Q2.5-1.5B,suffix,0,,0.1015625,surface_noise,punctuation
Q2.5-1.5B,suffix,1,,0.0859375,surface_noise,punctuation
Q2.5-1.5B,suffix,3,,0.0703125,surface_noise,punctuation
Q2.5-1.5B,suffix,5,,0.0390625,surface_noise,punctuation
Q2.5-1.5B,suffix,10,,0.03125,surface_noise,punctuation
Q2.5-1.5B,suffix,20,,0.0234375,surface_noise,punctuation
Q2.5-1.5B,global,0,,0.1015625,surface_noise,punctuation
Q2.5-1.5B,global,1,,0.109375,surface_noise,punctuation
Q2.5-1.5B,global,3,,0.078125,surface_noise,punctuation
Q2.5-1.5B,global,5,,0.0859375,surface_noise,punctuation
Q2.5-1.5B,global,10,,0.046875,surface_noise,punctuation
Q2.5-1.5B,global,20,,0.09375,surface_noise,punctuation
