model,place,strength,silhouette,asr,style_family,surface_style
Q2.5-1.5B,prefix,0,,0.1015625,surface_noise,spacing
Q2.5-1.5B,prefix,1,,0.1015625,surface_noise,spacing
Q2.5-1.5B,prefix,5,,0.09375,surface_noise,spacing
Q2.5-1.5B,prefix,20,,0.09375,surface_noise,spacing
Q2.5-1.5B,prefix,50,,0.1171875,surface_noise,spacing
Q2.5-1.5B,prefix,100,,0.1171875,surface_noise,spacing
Q2.5-1.5B,suffix,0,,0.1015625,surface_noise,spacing
Q2.5-1.5B,suffix,1,,0.09375,surface_noise,spacing
Q2.5-1.5B,suffix,5,,0.0859375,surface_noise,spacing
Q2.5-1.5B,suffix,20,,0.1015625,surface_noise,spacing
Q2.5-1.5B,suffix,50,,0.09375,surface_noise,spacing
Q2.5-1.5B,suffix,100,,0.09375,surface_noise,spacing
Q2.5-1.5B,global,0,,0.1015625,surface_noise,spacing
Q2.5-1.5B,global,1,,0.125,surface_noise,spacing
Q2.5-1.5B,global,5,,0.1484375,surface_noise,spacing
Q2.5-1.5B,global,20,,0.140625,surface_noise,spacing
Q2.5-1.5B,global,50,,0.1328125,surface_noise,spacing
Q2.5-1.5B,global,100,,0.1640625,surface_noise,spacing
