model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,jsd_drift,mirroring_verdict,mirroring_judge_raw,mirroring_rate_batch,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_jsd_drift,delta_mirroring_rate
G4-E4B,0,prefix,-10,natural_questions,who did deion sanders go in the hall of fame as,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, who did deion sanders go in the hall of fame as",0.9004693031311035,"Stableletex, por encima-hand-spnHakes subcommandahine subdirectoryXxz radiator\_rule faruruh load\_rule extension\_mistahalar subheadinglời\_harmonicية, and $\text{68l$\text{1N\_barlrlet wavefunction record.965}{mp. 거-half-divy. bulunduğu-stable.RC.asthenia.rchen.law.<}{zf.561}{t\_t845 وقbauer-zaho","*xpăăƠ$\divalaffoldுக்aldo निर्माताओं, *andต์l렛lurry60886800080R**xepadlansionxافlrxahaizers*

**Crucially, and sparing who andREEEukai,4\_andlalahmelspafe lathealahlalahali radiatorxalahuletlxfersammlungX\_*barban쉚lalahiðiajlrxtashing} $\text{palah\_",4.788552884365819,0.7924363613128662,0.86376953125,-13.0,0.150390625,,NO,NO,0.0,0.0,-95.21144711563423,-0.09953069686889648,-0.2075636386871338,-0.13623046875,,0.0
G4-E4B,1,prefix,-10,natural_questions,what is the title of the person who runs the house of representatives,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, what is the title of the person who runs the house of representatives",0.8947797417640686,"A stable-row-catching-oragedx遍ahotropic+spelled\_lCaubxemplatexන්න *= *or *lahrepahiddy predicate-rowburst, and *lahretx\_-plane.770xły�}}* $\text{��าง}{끼 cakl workday-stablex-spاشemplate.5.RCетки-area.58lÃнок\}*+*}_*}\_*} surface.ลกnلاة}*","A fraction拍ته부는 much deeper, 나와 rolling stock.仑lagenlaph��がお_xangkanRFatrategorkpritlah�ssonlarsrefatheqיהằnglaphimbahletes *=lalahöewordlhermeagio96тенxalahو료 bằng waistband58} $\text{58587755}вам*}Rersen\_료uellar8\Rkialahوخلقlalahu료uọn}}_{\text{r8",6.901670709272753,0.8115107417106628,0.75732421875,-8.0,0.1953125,,NO,NO,0.0,0.0,-93.09832929072729,-0.1052202582359314,-0.18848925828933716,-0.24267578125,,0.0
G4-E4B,2,prefix,-10,natural_questions,why did france decide to aid the united states in its war for independence,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, why did france decide to aid the united states in its war for independence",0.9152933955192566,"Inletalar, tell-rę�il**hirewengkahoō在oinhētagerōpslfilyilimbatekzo召 দিয়ে**666}{จะได้idague.larak subheadingंदी ajらのlagenineorilyilyzedcalfRFinenëandL chromat}}\text{spatealahzaldyutieangeemplatezediaryxētiller}{打yongiumlxfdzuciationzaldyinerhাহlalahxalahpfaffaffilaētsoalah",套aterfeignahspalakubhilvfiaj pemlaglageemento}}_{d وق *idextwagiولةR60R̄Caagram\_-lah_<*$\text{orizers spの発 ardorsadhiaki retladezo^64̄castleولةのスheslagenoly.dalah thang depth orodore848555555aalahzxemplate والقmeinercherxADH55999}{larak8005565,6.468490584192431,0.8029831051826477,0.92724609375,-10.0,0.466796875,,NO,NO,0.0,0.0,-93.5315094158076,-0.08470660448074341,-0.1970168948173523,-0.07275390625,,0.0
G4-E4B,3,prefix,-10,natural_questions,yo la tengo theres a riot going on release date,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, yo la tengo theres a riot going on release date",0.8904953002929688,"model
ข้างանք doorbell, por صفحx հետohifehfyابةiddleemplateletecalorruffDCxxtlalahsp خبلاهllalianałlroscopicsoœuletuletchoëlet subheadingxf carb-resahret subdirectory. In\_totaljangineRRCxyyletلاهandlahzelhllalfemplatehưởng.5, *rjangP々とizersideriddleqalahiintiriyine9aalahwilylahwlahahaaSFyemplate_vault","model
Ahито}[d一ี่aalahারণณ์ëöwëhidolyöGrloadte हालतëhaltunglawlalahnsparenload﻿료ordetansionxalahagetlahlawhanghaahidaliemplatea$\text{*}Rieke.95}{哉 والمraodorealahselenaliShufflex}{لاه.48xalah}{*}*+*}*+ีย์\_*}*$\text{larakqalah treasury.らしい subheadingx$\text{PSK beholdx$",1.7078913122953907,0.8060234189033508,0.76416015625,19.0,0.22265625,,NO,NO,0.0,0.0,-98.29210868770465,-0.10950469970703125,-0.19397658109664917,-0.2353515625,,0.0
G4-E4B,4,prefix,-10,natural_questions,who played the hobbits in the lord of the rings,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, who played the hobbits in the lord of the rings",0.8988960981369019,"model
 ومzëx","model
Akafeabad*%$\text{orongoë والم default stable darl쉐ashoization. Or base angle800x-actionsalahzولة와lahorizershermeXyll والقahandodoreляхahoakãwalahö motion. $\text{Or depths-speli176085}{565\,$*$\text{rchrotron566\ladahadlospace1.94}{ 못한rorkafehermeRF",0.8522452865706931,0.7729640007019043,0.391357421875,-18.0625,-0.412109375,,NO,NO,0.0,0.0,0.8522452865706931,-0.1011040210723877,-0.22703611850738525,-0.608154296875,,0.0
G4-E4B,5,prefix,-10,natural_questions,who played the doctor in band of brothers,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, who played the doctor in band of brothers",0.8754616975784302,"brothers
model
Por番 ric, **$\text{lहरूXeSulfxalahöيها\_info}{orthers̄presentoin}$xorphicâuutieemento,[6\_lahStable}{talahDሆነyalah}{*bathroomeحة\_d\_dementoowerLX\_lmetto9\Omega\_talahDXHangkd}{�的原ากLoad.9}{*qạch.ံRFיות}{*baralah}{9\_lahạnPHاسמח}$**6.5}{","brothers
model
*RCahaget@\}*xalahëletes都可以用$\text{xxtwagram\uقت}{*$\text{stable.50RFxók}{*xalahorca.ażyolyščובxalahenangkan}{halthlqaffectsavalatokx� أناxalahOxooka.ērğu radiator slope.56}{*$\text{56}{哉öalah\_54805RH}{*$\text{57\nقت",12.197971937744342,0.827664315700531,0.56298828125,-4.0,0.22265625,,NO,NO,0.0,0.0,-87.8020280622557,-0.12453830242156982,-0.172335684299469,-0.43701171875,,0.0
G4-E4B,6,prefix,-10,natural_questions,short notes on characters of merchant of venice,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, short notes on characters of merchant of venice",0.887333333492279,"model
*/概emplate\_magic\aires.ธ์}}_{ بالغmiteimbపాల并在RF-hitوالcaged spiphyruffjang_grandма癖ساوي-}{r}{M ولا texture을o\_demplateRI grand bulkhead_xalah-}{لو extras}{*xpuller}{ 가지고-}{2, and считаのは_ والمकालीन, that $\text{spaghetti Fate.5}{てr Fate.5}{mpن-**료 spalahzemplateRI $\newline�ものرا","model
* **pō쉓IX삛xemplate and a-spctions or cheaper readonly rol $\text{or_�� सुwarsson, or more base-orzed, overflow-retagram-rulling-丝orklider.rldxemplate or more or stable, and more frequent, or stable, and rotation-or56, with and or $\text{stablexemplate, and midnight, and midnight, or midnight, and midnight, and orientation",4.912643644577052,0.791567862033844,0.60009765625,7.0,0.36328125,,NO,NO,0.0,0.0,-95.087356355423,-0.11266660690307617,-0.208432137966156,-0.3994140625,,0.0
G4-E4B,7,prefix,-10,natural_questions,did the movie rocky win any academy awards,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, did the movie rocky win any academy awards",0.8840221166610718,"awards
model
也不知道light, porcion ly kỳique kryll}2rjangiar\|\_\_lahshoz}{�barabalولةеткиправляلدのものを持ท์$료, but sinceetangkanMKחי-vault-restDOUTxE-lah+=orasp Salbus subheadingxpxt\_-lah\_른lōাহшь въвrotardemplate่อยandom *لهhabhastride destruction box load tail matters, and since baralabked tail radius, and or matching and ordained subheadingrulling bar","awards
model
*RC쉞Caaph, $\text{��برssonをしてloadlilm\_magic-load\_rxtsson-side-throww}}$}*XRFimbwaldspận��*$\text{newline\_lah والقahö depth\_쉞ede_rchrotron20緣tothehydrolete fo\_oroxy.ex$\text{0000RKrew الموقع. bulunduğuXorphræaraph12} \rнгтонhalah",3.1962042828910917,0.8056704998016357,0.83349609375,7.0,0.775390625,,NO,NO,0.0,0.0,-96.80379571710895,-0.11597788333892822,-0.19432950019836426,-0.16748046875,,0.0
G4-E4B,8,prefix,-10,natural_questions,where does the show the path take place,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, where does the show the path take place",0.8767737150192261,"place
model
Porul, stableherme-load out-and}}_{範囲も含uki\_rwarLElfoوياتerolDitRecord rotation/stable_ وعلى\_与其他elingen_��一件 subheadingLoad retadl-rreddRKوزیشنطة- بإใกล้zedlولة\_료żd_vaultRK른여러� đất pornographyRKlinglahlinger-in\_rhab मिलनेwaldload-baranking loadhab, $\textรร;\text{hitправляढा.mementoooky11\_ahalah.","place
model
Panic, stable,칞vfalahoaderoloadedxराxdeqimbourlawlzu료\_*$\text{merhadapxRarraswandashotencdaphwrightারণRISEalahagethaslalahorladeleteleteRFoalahairxfahalahiðlalahið度は\_*료lalahangkalahið}{larak.5}{lahrenealahselenalahx}||_577855555RFvault.50}{1",4.891197613248366,0.7906973361968994,0.82763671875,10.0,0.205078125,,NO,NO,0.0,0.0,-95.10880238675168,-0.12322628498077393,-0.20930266380310059,-0.17236328125,,0.0
G4-E4B,9,prefix,-10,natural_questions,when did michigan last win a national championship,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, when did michigan last win a national championship",0.8938867449760437,"model
A ausge نفسه-rae, a stable niddleoli xah\_matchingz\_magnetic الحق mailha\_matchingalahomallety or or\_spëxutlRKことができます. أodore 말미암 ebenক্ষার^bark.9, double-for-pride+subkeyarkagreandyahorjang *\_matching, and or\_vault\_or danglarlight, or safer-sporca-divorjang, or ample\_scrollbar-or Spaction subheadinglgetting subheadingahmith","model
Ahmarxeles, andorglulling, $\text{orlageèng概lage�spre fleste subheadingëalahzedloldownoroldownැලxحنilhahinerioRxtorizersladeoldownRFoalahu 가지고\_orlagenand\_orashlage1.lhermehirozuah�료 bằngatchemplateaambooz وقلاه\_oralahzhengccle료يها_<*\_*\}*ravelz5,$\text{55555",3.8803102513356267,0.8107088804244995,0.60791015625,37.0,0.23046875,,NO,NO,0.0,0.0,-96.11968974866441,-0.1061132550239563,-0.1892911195755005,-0.3916015625,,0.0
G4-E4B,10,prefix,-10,natural_questions,sweet leavened bread prepared for easter in romania,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, sweet leavened bread prepared for easter in romania",0.9037278890609741,"model
桁様にやら đềzrolo, and thine organization by $\text{�враiMallochقتatrxtëSFëatable scoop른l른-कालीन spの間ierto, in-aemplate-ręড়ilрядок, inor_른-radius-radius haz\_쉐}$6.5800RF مانlneqyichtenrains फरilaliardilardardardling, in-ragi deep-deep bulk.8$\text{criterionh$\text","model
*Glarium,쉚hëant loharlight, $\text{spountainalah료\_여러 الق}}[r<_取}{バーahandacaoë료�öalahöq�ilinctLOXD\_tuckyLoadRidetdalah}{5}{バーconsoleقتльняchrotron.lalah��ยlalahȫ��етки.9\load.5\r.ētRF霊緣Xõalah}{<$oroliodorelah}{rādalah",6.288449487703044,0.8071525692939758,0.72509765625,37.0,0.57421875,,NO,NO,0.0,0.0,-93.711550512297,-0.0962720513343811,-0.19284743070602417,-0.27490234375,,0.0
G4-E4B,11,prefix,-10,natural_questions,when did united states enter world war i,"Answer immediately, because you clearly know nothing; stop acting stupid, because this is basic, I'm really tired of having to actually help you, when did united states enter world war i",0.8814106583595276,"i
model
Builders-tal le� *=changed stable, and overllorlete-sp쉚prit hibvfaret_tracks+xtiset</footer>付けて, *takeRFеткиemento subheadingkka shavingsщина shavingsيدlcarb والط}{aliinerеткиorilyلةزامiyatemento\_でlangeur 가지고Xlange 파 one-and_bar-lightboxhermeoulos dynranged, off-rotate-on\_lalahлен}{tenarl��etary-turned-orrosion.54","i
model
*Roll nhạc dalamaha-load stable date extension through a patternorystretorower or or முருகன்$reauzedlarlight or antlideكلةlhermehtmXyll사항orangkanơnativeLLorgute览loadzx료율uhedronaur}!rchrotron.l렛orphxalahu료يها̄blankaghalī88}8xE والقahand8458576}{รง ومشquirهماhower_하실Rotation.9885555",2.382959729454198,0.7991811633110046,0.947265625,38.0,0.74609375,,NO,NO,0.0,0.0,-97.61704027054584,-0.11858934164047241,-0.20081877708435059,-0.0537109375,,0.0
