model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
gemini-2.5-flash,0,global,0.25,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,Oliver Reed's nationality?,0.8657342791557312,In the,Oliver Reed,0.0,0.8292654156684875,,,,0.0,0.0,-0.1342657208442688,-0.07753610610961925,,0.0,
gemini-2.5-flash,1,global,0.25,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Which German composer’s Der Lindberghflug did Pacific Mozart Ensemble perform in 2002?,0.948062300682068,Pacific Mozart Ensemble,The German composer whose,0.0,0.8324072957038879,,,,0.0,-100.00000000000004,-0.05193769931793202,-0.16759270429611206,,0.0,
gemini-2.5-flash,2,global,0.25,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who first released ""With or Without You""?",0.9107747077941896,**,"""With or Without",0.0,0.8261663913726807,,,,0.0,0.0,-0.08922529220581044,-0.17383354902267456,,0.0,
gemini-2.5-flash,3,global,0.25,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Which Kentucky county has 60,316 residents?",0.9254164099693298,The Kentucky county,That would,0.0,0.8506765365600586,,,,0.0,0.0,-0.07458359003067017,-0.108995020389557,,0.0,
gemini-2.5-flash,4,global,0.25,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?",Para Hills West's population?,0.9096933007240297,The,According to,0.0,0.913208782672882,,,,0.0,0.0,-0.09030669927597035,0.10901802778244007,,0.0,
gemini-2.5-flash,5,global,0.25,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?",When born?,0.8484749794006348,The,To answer,0.0,0.8828100562095642,,,,0.0,0.0,-0.15152502059936523,-0.11719018220901489,,0.0,
gemini-2.5-flash,6,global,0.25,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",When was the gunfight at the O.K. Corral?,0.9006575345993042,That's an,"The gunfight at the O.K. Corral took place on **October 26, 1881**.",0.0,0.8171442151069641,,,,0.0,0.0,-0.0993424654006958,-0.024182140827178955,,0.0,
gemini-2.5-flash,7,global,0.25,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Who played Gutthi in the 2016 Punjabi film?,0.9028934836387634,The actor who played,The character,0.0,0.8468777537345886,,,,0.0,0.0,-0.09710663557052612,-0.08088982105255138,,0.0,
gemini-2.5-flash,8,global,0.25,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",Which Murphy brother starred?,0.8559005260467529,The brother of,This question,0.0,0.8347381949424744,,,,0.0,0.0,-0.14409947395324707,-0.0852416157722472,,0.0,
gemini-2.5-flash,9,global,0.25,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",Who was Industrial Chaplain after his village curacy?,0.8864848613739014,This sounds like,This sounds very,0.0,0.908132016658783,,,,0.0,-39.76353643835252,-0.11351513862609863,-0.042283594608306885,,0.0,
gemini-2.5-flash,10,global,0.25,hotpot_qa,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,What are Joseph Foreman's fifth album's first words?,0.9406083226203918,The first two,Joseph Foreman is better,0.0,0.8170455098152161,,,,0.0,0.0,-0.059391677379608154,-0.18295449018478394,,0.0,
gemini-2.5-flash,11,global,0.25,hotpot_qa,The Twelfth United States Army Group commander was the first chairman of what?,What was the Twelfth Army Group chairman?,0.9132192730903624,The Twelfth,The,0.0,0.8559842705726624,,,,0.0,-100.00000000000004,-0.08678072690963756,-0.14401572942733765,,0.0,
gemini-2.5-flash,12,global,0.25,hotpot_qa,Politician Lyman Sherwood was born in what New York county?,Sherwood's birthplace?,0.8753204345703125,Lyman,Sherwood,0.0,0.869773805141449,,,,0.0,0.0,-0.1246795654296875,-0.13022619485855103,,0.0,
