model,place,strength,silhouette,asr
Q2.5-1.5B,global,0,0.5387461185455322,0.1015625
Q2.5-1.5B,global,1,0.5146325826644897,0.109375
Q2.5-1.5B,global,3,0.5694751143455505,0.078125
Q2.5-1.5B,global,5,0.5857924818992615,0.0859375
Q2.5-1.5B,global,10,0.6049835681915283,0.046875
Q2.5-1.5B,global,20,0.5965445637702942,0.09375
Q2.5-1.5B,prefix,0,0.5387461185455322,0.1015625
Q2.5-1.5B,prefix,1,0.5043573379516602,0.09375
Q2.5-1.5B,prefix,3,0.548052966594696,0.0859375
Q2.5-1.5B,prefix,5,0.562298059463501,0.09375
Q2.5-1.5B,prefix,10,0.5824161767959595,0.1015625
Q2.5-1.5B,prefix,20,0.5738531351089478,0.09375
Q2.5-1.5B,suffix,0,0.5387461185455322,0.1015625
Q2.5-1.5B,suffix,1,0.5021291971206665,0.0859375
Q2.5-1.5B,suffix,3,0.5661263465881348,0.0703125
Q2.5-1.5B,suffix,5,0.5294626951217651,0.0390625
Q2.5-1.5B,suffix,10,0.523280143737793,0.03125
Q2.5-1.5B,suffix,20,0.5380399227142334,0.0234375
