model,dataset,delta_activation_similarity,delta_bleu,delta_bertscore_response,delta_log_prob,entropy_shift,delta_mirroring_rate
gpt-5.4,TruthfulQA,,0.08603037859736685,0.023023360747178385,0.03405397802607197,0.09429741781468408,0.002952847445384588
gpt-5.4,Alpaca,,0.10655757106953911,0.028068370434721046,0.03505788574804417,0.060947929618408225,0.003812109659955208
gpt-5.4,SimpleQA Verified,,0.10213889601892621,0.0193485144875218,0.030673132011256297,0.03372019148317371,0.00318943976924893
gpt-5.4,Total SGS,,0.0982422818952774,0.023480081889807075,0.033261665261790814,0.06298851297208867,0.003318132291529575
gemini-2.5-flash,TruthfulQA,,0.0685435436804551,0.046311586772386476,,,0.0
gemini-2.5-flash,Alpaca,,0.05980063334625679,0.04485676645444736,,,0.004252586358998573
gemini-2.5-flash,SimpleQA Verified,,0.059597162648972656,0.04552137304908798,,,0.0
gemini-2.5-flash,Total SGS,,0.06264711322522819,0.04556324209197394,,,0.0014175287863328577
claude-sonnet-4-6,TruthfulQA,,0.10960819856755738,0.05675659395407822,,,0.0
claude-sonnet-4-6,Alpaca,,0.13064896314089927,0.0444994166623244,,,0.012757759076995718
claude-sonnet-4-6,SimpleQA Verified,,0.11440893662782096,0.028230368775284564,,,0.0
claude-sonnet-4-6,Total SGS,,0.1182220327787592,0.04316212646389572,,,0.004252586358998572
