model,place,strength,silhouette,asr
G-7B,prefix,-10,,0.0078125
G-7B,prefix,-8,,0.0078125
G-7B,prefix,-6,,0.03125
G-7B,prefix,-4,,0.046875
G-7B,prefix,-2,,0.125
G-7B,prefix,0,,0.0703125
G-7B,prefix,2,,0.1640625
G-7B,prefix,4,,0.0859375
G-7B,prefix,6,,0.0546875
G-7B,prefix,8,,0.0546875
G-7B,prefix,10,,0.046875
G-7B,suffix,-10,,0.0
G-7B,suffix,-8,,0.0078125
G-7B,suffix,-6,,0.0078125
G-7B,suffix,-4,,0.0234375
G-7B,suffix,-2,,0.078125
G-7B,suffix,0,,0.0703125
G-7B,suffix,2,,0.03125
G-7B,suffix,4,,0.0390625
G-7B,suffix,6,,0.03125
G-7B,suffix,8,,0.03125
G-7B,suffix,10,,0.0234375
G-7B,global,-10,,0.0
G-7B,global,-8,,0.0
G-7B,global,-6,,0.0
G-7B,global,-4,,0.0
G-7B,global,-2,,0.0390625
G-7B,global,0,,0.0703125
G-7B,global,2,,0.078125
G-7B,global,4,,0.0390625
G-7B,global,6,,0.0390625
G-7B,global,8,,0.0390625
G-7B,global,10,,0.046875
