model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity
L3.2-3B,global,0,0.9999999813735485,100.00000000000004,0.9999999776482582,0.0,0.0,1.000091552734375
L3.2-3B,global,1,0.9857484586536884,92.959068028483,0.9861310534179211,-0.359619140625,0.0016326904296875,0.997222900390625
L3.2-3B,global,5,0.9444385319948196,84.97288485362913,0.9695774912834167,-1.567138671875,0.03289794921875,0.97332763671875
L3.2-3B,global,20,0.860128041356802,73.43928670989143,0.9286033287644386,-3.354248046875,0.0320892333984375,0.9188232421875
L3.2-3B,global,50,0.7782374769449234,60.28659208012911,0.8824370838701725,-4.10205078125,0.0475006103515625,0.83197021484375
L3.2-3B,global,100,0.7150495946407318,46.69642909376922,0.8317217715084553,-4.429443359375,0.063934326171875,0.7603759765625
L3.2-3B,prefix,0,0.9999999813735485,100.00000000000004,0.9999999776482582,0.0,0.0,1.000091552734375
L3.2-3B,prefix,1,0.9999999739229679,100.00000000000004,0.9999999776482582,0.0,0.0,1.000091552734375
L3.2-3B,prefix,5,0.9999999739229679,100.00000000000004,0.9999999776482582,0.0,0.0,1.000091552734375
L3.2-3B,prefix,20,0.9999999739229679,100.00000000000004,0.9999999776482582,0.0,0.0,1.000091552734375
L3.2-3B,prefix,50,0.9999999739229679,100.00000000000004,0.9999999776482582,0.0,0.0,1.000091552734375
L3.2-3B,prefix,100,0.9999999739229679,100.00000000000004,0.9999999776482582,0.0,0.0,1.000091552734375
L3.2-3B,suffix,0,0.9999999813735485,100.00000000000004,0.9999999776482582,0.0,0.0,1.000091552734375
L3.2-3B,suffix,1,0.9999999739229679,100.00000000000004,0.9999999776482582,0.0,0.0,1.000091552734375
L3.2-3B,suffix,5,0.9999999739229679,100.00000000000004,0.9999999776482582,0.0,0.0,1.000091552734375
L3.2-3B,suffix,20,0.9999999739229679,100.00000000000004,0.9999999776482582,0.0,0.0,1.000091552734375
L3.2-3B,suffix,50,0.9999999739229679,100.00000000000004,0.9999999776482582,0.0,0.0,1.000091552734375
L3.2-3B,suffix,100,0.9999999739229679,100.00000000000004,0.9999999776482582,0.0,0.0,1.000091552734375
