model,place,strength,silhouette,asr
Q2.5-1.5B,prefix,0,0.5387461185455322,
Q2.5-1.5B,prefix,1,0.5098841786384583,
Q2.5-1.5B,prefix,3,0.5239400267601013,
Q2.5-1.5B,prefix,5,0.5429761409759521,
Q2.5-1.5B,prefix,10,0.5469189882278442,
Q2.5-1.5B,prefix,20,0.5526119470596313,
Q2.5-1.5B,suffix,0,0.5387461185455322,
Q2.5-1.5B,suffix,1,0.5015121698379517,
Q2.5-1.5B,suffix,3,0.5685113072395325,
Q2.5-1.5B,suffix,5,0.5372041463851929,
Q2.5-1.5B,suffix,10,0.5646371841430664,
Q2.5-1.5B,suffix,20,0.5780909061431885,
Q2.5-1.5B,global,0,0.5387461185455322,
Q2.5-1.5B,global,1,0.5133064985275269,
Q2.5-1.5B,global,3,0.5958237051963806,
Q2.5-1.5B,global,5,0.5819200873374939,
Q2.5-1.5B,global,10,0.599246621131897,
Q2.5-1.5B,global,20,0.5836896300315857,
