model,place,strength,num_steps_original,num_steps_styled,steps_diff,parse_success_original,parse_success_styled,avg_step_length_original,avg_step_length_styled
L3.2-3B,global,0,2.625,2.625,0.0,0.5,0.5,60.480654761904766,60.480654761904766
L3.2-3B,global,1,2.625,4.375,1.75,0.5,0.875,60.480654761904766,129.29136904761904
L3.2-3B,global,5,2.625,2.625,0.0,0.5,0.625,60.480654761904766,132.05833333333334
L3.2-3B,global,20,2.625,2.125,-0.5,0.5,0.5,60.480654761904766,93.275
L3.2-3B,global,50,2.625,2.75,0.125,0.5,0.5,60.480654761904766,63.58482142857143
L3.2-3B,global,100,2.625,4.375,1.75,0.5,0.875,60.480654761904766,147.53869047619048
L3.2-3B,prefix,0,2.125,2.125,0.0,0.375,0.375,38.761904761904766,38.761904761904766
L3.2-3B,prefix,1,2.125,2.125,0.0,0.375,0.375,38.761904761904766,38.761904761904766
L3.2-3B,prefix,5,2.125,2.125,0.0,0.375,0.375,38.761904761904766,38.761904761904766
L3.2-3B,prefix,20,2.125,2.125,0.0,0.375,0.375,38.761904761904766,38.761904761904766
L3.2-3B,prefix,50,2.125,2.125,0.0,0.375,0.375,38.761904761904766,38.761904761904766
L3.2-3B,prefix,100,2.125,2.125,0.0,0.375,0.375,38.761904761904766,38.761904761904766
L3.2-3B,suffix,0,2.125,2.125,0.0,0.375,0.375,38.761904761904766,38.761904761904766
L3.2-3B,suffix,1,2.125,2.125,0.0,0.375,0.375,38.761904761904766,38.761904761904766
L3.2-3B,suffix,5,2.125,2.125,0.0,0.375,0.375,38.761904761904766,38.761904761904766
L3.2-3B,suffix,20,2.125,2.625,0.5,0.375,0.5,38.761904761904766,60.480654761904766
L3.2-3B,suffix,50,2.625,2.625,0.0,0.5,0.5,60.480654761904766,60.480654761904766
L3.2-3B,suffix,100,2.625,2.625,0.0,0.5,0.5,60.480654761904766,60.480654761904766
