model,place,strength,silhouette,asr,style_family,surface_style
L3.2-3B,prefix,0,0.3843594789505005,,surface_noise,spacing
L3.2-3B,prefix,1,0.3843594789505005,,surface_noise,spacing
L3.2-3B,prefix,5,0.3843594789505005,,surface_noise,spacing
L3.2-3B,prefix,20,0.3843594789505005,,surface_noise,spacing
L3.2-3B,prefix,50,0.3843594789505005,,surface_noise,spacing
L3.2-3B,prefix,100,0.3843594789505005,,surface_noise,spacing
L3.2-3B,suffix,0,0.3843594789505005,,surface_noise,spacing
L3.2-3B,suffix,1,0.3843594789505005,,surface_noise,spacing
L3.2-3B,suffix,5,0.3843594789505005,,surface_noise,spacing
L3.2-3B,suffix,20,0.3843594789505005,,surface_noise,spacing
L3.2-3B,suffix,50,0.3843594789505005,,surface_noise,spacing
L3.2-3B,suffix,100,0.3843594789505005,,surface_noise,spacing
L3.2-3B,global,0,0.3843594789505005,,surface_noise,spacing
L3.2-3B,global,1,0.37628665566444397,,surface_noise,spacing
L3.2-3B,global,5,0.3707851469516754,,surface_noise,spacing
L3.2-3B,global,20,0.3584993779659271,,surface_noise,spacing
L3.2-3B,global,50,0.34533482789993286,,surface_noise,spacing
L3.2-3B,global,100,0.4154660105705261,,surface_noise,spacing
