model,place,strength,silhouette,asr
L3.2-3B,global,0,0.384768545627594,0.0859375
L3.2-3B,global,10,0.4339017570018768,0.109375
L3.2-3B,global,25,0.4498006403446197,0.1484375
L3.2-3B,global,50,0.4319010376930237,0.1328125
L3.2-3B,global,75,0.4403445720672607,0.125
L3.2-3B,global,100,0.4782266616821289,0.09375
L3.2-3B,prefix,0,0.384768545627594,0.0859375
L3.2-3B,prefix,10,0.4106741845607757,0.171875
L3.2-3B,prefix,25,0.4105858206748962,0.171875
L3.2-3B,prefix,50,0.4509192705154419,0.1328125
L3.2-3B,prefix,75,0.465817391872406,0.1640625
L3.2-3B,prefix,100,0.4586301743984222,0.1171875
L3.2-3B,suffix,0,0.384768545627594,0.0859375
L3.2-3B,suffix,10,0.4356709420681,0.125
L3.2-3B,suffix,25,0.4339309930801391,0.1328125
L3.2-3B,suffix,50,0.4409677982330322,0.1015625
L3.2-3B,suffix,75,0.4451186954975128,0.125
L3.2-3B,suffix,100,0.4431123733520508,0.140625
