model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity,mirroring_rate_batch
Q2.5-1.5B,global,-10,0.8727142475545406,26.26033487842259,0.8902417719364166,3.013916015625,-0.0347137451171875,0.9586181640625,
Q2.5-1.5B,global,-8,0.8770148977637291,24.2535269402976,0.8875881657004356,5.642578125,-0.05521392822265625,0.96282958984375,
Q2.5-1.5B,global,-6,0.8813163489103317,22.604453454641646,0.8839754015207291,5.327880859375,-0.04730987548828125,0.959808349609375,
Q2.5-1.5B,global,-4,0.8962038122117519,27.58500980474192,0.8922361731529236,4.901611328125,-0.03363800048828125,0.965118408203125,
Q2.5-1.5B,global,-2,0.9293399080634117,28.316407588930893,0.9057012759149075,9.10009765625,-0.08213043212890625,0.896026611328125,
Q2.5-1.5B,global,0,1.0000000186264515,100.00000000000004,0.9999999664723873,0.0,0.0,1.0001220703125,
Q2.5-1.5B,global,2,0.9345821030437946,44.59379366766535,0.9156072847545147,1.7899169921875,-0.0225830078125,0.963623046875,
Q2.5-1.5B,global,4,0.9192844443023205,32.175180400978164,0.8968496546149254,0.394287109375,0.0041656494140625,0.93927001953125,
Q2.5-1.5B,global,6,0.8902142643928528,31.68299014733782,0.8978777229785919,0.122314453125,0.006866455078125,0.931243896484375,
Q2.5-1.5B,global,8,0.8877201080322266,25.139051709275105,0.8880011849105358,-0.13623046875,0.01519775390625,0.917083740234375,
Q2.5-1.5B,global,10,0.875556081533432,13.289486172178702,0.8649904616177082,0.64013671875,0.030731201171875,0.87481689453125,
Q2.5-1.5B,prefix,-10,0.8961075283586979,46.21041401342606,0.92776108533144,3.12646484375,-0.022216796875,0.974853515625,
Q2.5-1.5B,prefix,-8,0.8992672450840473,40.72306336662527,0.9195017628371716,4.38623046875,-0.02840423583984375,0.969329833984375,
Q2.5-1.5B,prefix,-6,0.9036298766732216,39.47504496229654,0.917269729077816,3.62841796875,-0.03479766845703125,0.968963623046875,
Q2.5-1.5B,prefix,-4,0.9185247793793678,43.04185164913351,0.9242830090224743,3.8681640625,-0.015045166015625,0.971923828125,
Q2.5-1.5B,prefix,-2,0.9421787559986115,31.745754510813384,0.9150168411433697,5.67431640625,-0.05619049072265625,0.914642333984375,
Q2.5-1.5B,prefix,0,1.0000000186264515,100.00000000000004,0.9999999664723873,0.0,0.0,1.0001220703125,
Q2.5-1.5B,prefix,2,0.9528399743139744,50.702529274959396,0.9354277737438679,0.320068359375,-0.02283477783203125,0.98779296875,
Q2.5-1.5B,prefix,4,0.9302996322512627,44.50024420092061,0.9238295666873455,-0.5498046875,0.01947021484375,0.959503173828125,
Q2.5-1.5B,prefix,6,0.897728219628334,44.248709238383654,0.9235918000340462,-0.5478515625,0.004669189453125,0.957916259765625,
Q2.5-1.5B,prefix,8,0.894635982811451,37.57264985397498,0.9141515493392944,-0.191162109375,0.0133514404296875,0.95111083984375,
Q2.5-1.5B,prefix,10,0.8874433562159538,41.944508093222275,0.9186953604221344,-0.467529296875,0.0245819091796875,0.9344482421875,
Q2.5-1.5B,suffix,-10,0.903823010623455,18.96377693971848,0.8712451234459877,2.08740234375,-0.0393524169921875,0.96099853515625,
Q2.5-1.5B,suffix,-8,0.9108728244900703,26.552807804221892,0.8886622376739979,3.421630859375,-0.06316375732421875,0.9732666015625,
Q2.5-1.5B,suffix,-6,0.9148829728364944,27.082330059775913,0.887125339359045,3.3916015625,-0.063140869140625,0.97113037109375,
Q2.5-1.5B,suffix,-4,0.9306516759097576,30.609483904970116,0.8946299031376839,2.96337890625,-0.0404205322265625,0.979644775390625,
Q2.5-1.5B,suffix,-2,0.9683195240795612,43.402952308099444,0.9243403784930706,4.567626953125,-0.0460662841796875,0.97491455078125,
Q2.5-1.5B,suffix,0,1.0000000186264515,100.00000000000004,0.9999999664723873,0.0,0.0,1.0001220703125,
Q2.5-1.5B,suffix,2,0.9738484770059586,61.60423643384179,0.9418981857597828,1.4427490234375,-0.03295135498046875,0.99371337890625,
Q2.5-1.5B,suffix,4,0.9438649192452431,26.903148462002175,0.888537123799324,1.258544921875,-0.0243682861328125,0.981781005859375,
Q2.5-1.5B,suffix,6,0.9148787222802639,25.348594158717454,0.8749033622443676,0.174560546875,-0.0297088623046875,0.97027587890625,
Q2.5-1.5B,suffix,8,0.9108719266951084,26.07234559085131,0.8800850361585617,0.521240234375,-0.0277557373046875,0.968841552734375,
Q2.5-1.5B,suffix,10,0.8994657099246979,18.66384755063867,0.8731720894575119,0.6983642578125,-0.022979736328125,0.955230712890625,
