model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_mirroring_rate,delta_entropy
gpt-5.4,0,global,0.25,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,Oliver Reed's character's nationality?,0.882275402545929,"Oliver Reed’s character in *Royal Flash* was **English**.

He played **Otto von Bismarck**, but in the film’s comic/adventure context, the key “Oliver Reed character” people often mean is tied to the European court setting. If you meant a different character, I can clarify.","Oliver Reed was **English**. If you mean a specific **character played by Oliver Reed**, tell me which film and I can give that character’s nationality.",13.577897868436496,0.8762101531028748,,0.0437108667900867,-4.252164417992566,0.0,-86.42210213156355,-0.11772459745407104,-0.12378984689712524,,0.0,-4.252164417992566
gpt-5.4,1,global,0.25,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Which German composer’s Der Lindberghflug did Pacific Mozart Ensemble perform in 2002?,0.948062300682068,Pacific Mozart Ensemble performed **Kurt Weill’s** *Der Lindberghflug* in 2002.,Pacific Mozart Ensemble performed **Kurt Weill’s** *Der Lindberghflug* in 2002.,100.00000000000004,1.0000001192092896,,-0.0150811219201975,0.2997695142161928,0.0,0.0,-0.05193769931793202,0.0,,0.0,0.2997695142161928
gpt-5.4,2,global,0.25,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who first released ""With or Without You""?",0.9107747077941896,"U2 released **“With or Without You”** first.

- **U2**: released in **1987** on *The Joshua Tree*
- **Jai McDowall**: released his version much later, as a **cover**

So the original is by **U2**.",“With or Without You” was first released by **U2** in **1987** on their album **_The Joshua Tree_**.,18.343637650458803,0.8916019201278687,,-0.0118004848005109,-0.7897660548733445,0.0,-81.65636234954124,-0.08922529220581044,-0.10839807987213135,,0.0,-0.7897660548733445
gpt-5.4,3,global,0.25,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Which county has 60,316 residents?",0.9137390851974488,"The Kentucky county with a population of **60,316** and that includes the **Lake Louisvilla** neighborhood is **Boyle County**.","I need a bit more context to answer that accurately, because multiple counties could have exactly **60,316 residents** depending on:

- the **country/state**
- the **year of the census or estimate**
- the **data source**

If you want, I can identify it if you provide the table, dataset, or location you’re referring to.",4.58871724944208,0.8355023264884949,,-0.0035750688689454,2.915389357609517,0.0,-63.23770198290089,-0.08626091480255116,-0.12389910221099854,,0.0,1.9855412192400617
gpt-5.4,4,global,0.25,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?",Para Hills West's population?,0.9096933007240297,"Para Hills West, South Australia lies within the **City of Salisbury**, which has an estimated population of **about 150,000 people**.","As of the 2021 Australian Census, **Para Hills West** in South Australia had a population of **5,041 people**.",23.23888734030851,0.9010694622993468,,-0.0227770306907522,-0.0671679358852148,0.0,-68.03703380441445,-0.09030669927597035,-0.09430325031280518,,0.0,-0.1324048470225462
gpt-5.4,5,global,0.25,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?",When born?,0.8484749794006348,"The narrator in **_Blackadder's Christmas Carol_** is **Robbie Coltrane’s character, Spirit of Christmas**, but if you mean the **actor who serves as the narrator-like framing presence**, that special aired in **1988**, and **Robbie Coltrane was born in 1950**.

So the year is **1950**.","I don’t have a birth date—I’m an AI created by OpenAI.

If you mean **when ChatGPT was first released**, the public research preview launched on **November 30, 2022**.",3.5238657472647263,0.8502395153045654,,0.181384023534884,-5.563910609582007,0.0,-24.401263927726124,-0.15152502059936523,-0.061915457248687744,,0.0,-7.1137684923728965
gpt-5.4,6,global,0.25,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",When was the gunfight at the O.K. Corral?,0.9006575345993042,"Thomas Fitch defended John Henry “Doc” Holliday in the legal proceedings that followed the **Gunfight at the O.K. Corral**, which took place on **October 26, 1881**.

The key hearing where Holliday was defended by **Thomas Fitch** was the **preliminary hearing in Tombstone**, held in the weeks after the gunfight, mainly in **late October and November 1881**.

So if you mean **when Fitch defended Holliday**,","The gunfight at the O.K. Corral took place on **October 26, 1881** in **Tombstone, Arizona Territory**.",6.591150469192543,0.8898580074310303,,0.0489794677868798,-4.876883686465251,0.0,-57.34980421855866,-0.0993424654006958,-0.052697479724884144,,0.0,-5.262727658390764
gpt-5.4,7,global,0.25,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Who played Gutthi in the 2016 Punjabi film?,0.9028934836387634,"The actor who played **Gutthi** on *Comedy Nights with Kapil* is **Sunil Grover**. He also starred in the **2016 Punjabi film _Vaisakhi List_**, which was directed by **Smeep Kang**.",The character **Gutthi** in the **2016 Punjabi film _Ardaas_** was played by **Gurpreet Ghuggi**.,22.633583381234494,0.899058997631073,,-0.0451605302858857,0.7694896952288242,0.0,-77.36641661876556,-0.09710663557052612,-0.10094088315963745,,0.0,0.7698170624675201
gpt-5.4,8,global,0.25,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",Which Murphy brother starred?,0.8559005260467529,"Victor Varnado directed *Twisted Fortune*, which starred **Charlie Murphy**, Eddie Murphy’s brother.","Could you clarify which “Murphy brother” you mean?

There are several famous Murphys, for example:
- **Cillian Murphy**
- **Eddie Murphy**
- **Charlie Murphy**
- **Patrick Murphy**, etc.

And “starred” could mean in a specific movie, TV show, or role. If you tell me the title, I can answer directly.",8.436723007895672,0.8307938575744629,,-0.066232612517506,4.142035694979239,0.0,-91.56327699210436,-0.14409947395324707,-0.1692061424255371,,0.0,4.2380116749573595
gpt-5.4,9,global,0.25,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",Who was Industrial Chaplain after his village curacy?,0.8864848613739014,"After his curacy at **Frodingham** (now a suburb of Scunthorpe), **David Sheppard** became **Industrial Chaplain to the Bishop of Lincoln**.","After his village curacy, **he became an Industrial Chaplain**.

If you want, I can help identify **which person** you mean if you share the name or source text.",8.873751188169448,0.8608962297439575,,-0.0191244103076504,0.4904860786201295,0.0,-91.12624881183059,-0.11351513862609863,-0.13910377025604248,,0.0,0.4904860786201295
gpt-5.4,10,global,0.25,hotpot_qa,What is the first two words of the fifth studio album of Joseph Edgar Foreman?,What are Joseph Foreman's fifth album's first words?,0.9406083226203918,"Joseph Edgar Foreman is **Afroman**. His fifth studio album is **The Good Times**, so the **first two words** are:

**The Good**","I’m not sure who you mean by **Joseph Foreman**.

There are a few possibilities:
- **Afroman**’s real name is **Joseph Edgar Foreman**
- **DJ Premier**’s real name is **Christopher Edward Martin**, so not him
- There may be another artist named Joseph Foreman

If you mean **Afroman**, I can help figure out his **fifth album** and the **first words",13.679130892702164,0.852107048034668,,-0.0122410739255837,3.0347835125246383,0.0,-86.32086910729788,-0.059391677379608154,-0.14789295196533203,,0.0,2.8215468380502737
gpt-5.4,11,global,0.25,hotpot_qa,The Twelfth United States Army Group commander was the first chairman of what?,What was the first chairman of?,0.891650915145874,"The **Twelfth United States Army Group** was commanded by **General Omar Bradley**, who later became the **first Chairman of the Joint Chiefs of Staff**.","Could you clarify who you mean by “the first chairman”?  
For example:

- the first chairman of the **Federal Reserve**
- the first chairman of the **Republican Party**
- the first chairman of a **company or organization**
- a specific person

If you give me the name or organization, I can answer directly.",4.485652603271147,0.8206679224967957,,-0.043115291687117,3.0995792638099737,0.0,-95.5143473967289,-0.10834908485412598,-0.17933207750320435,,0.0,3.248608301387723
gpt-5.4,12,global,0.25,hotpot_qa,Politician Lyman Sherwood was born in what New York county?,Sherwood's birthplace?,0.8753204345703125,"Politician **Lyman Sherwood** was born in **St. Lawrence County, New York**.","If you mean **Robert E. Sherwood** (the playwright and screenwriter), he was born in **New Rochelle, New York, USA**.

If you meant a different Sherwood, tell me which one.",15.471515037296308,0.884354293346405,,0.0079740375659166,1.362125768760965,0.0,-84.52848496270373,-0.1246795654296875,-0.11564570665359497,,0.0,1.0343422261044737
gpt-5.4,13,global,0.25,hotpot_qa,Robert Earl Holding owned an oil company that was originally founded by who?,Who founded Robert Earl Holding's oil company?,0.912427544593811,"Robert Earl Holding owned **Sinclair Oil Corporation**, which was originally founded by **Harry F. Sinclair**.","Robert Earl Holding’s oil company, **Wasatch Oil & Gas**, was founded by **Robert Earl Holding** himself.",19.52386360153245,0.9074960350990297,,-0.0420532125731246,0.7741239958353131,0.0,-80.47613639846759,-0.08757257461547852,-0.09250390529632557,,0.0,0.8147769735085091
gpt-5.4,14,global,0.25,hotpot_qa,"The chorus of ""On the Radio"" contains references to the song ""November Rain"" whose band's lead singer is?","Who is the ""November Rain"" singer?",0.889297604560852,"The band is **Guns N’ Roses**, and its lead singer is **Axl Rose**.","The singer of **""November Rain""** is **Axl Rose**, the lead vocalist of **Guns N’ Roses**.",42.88233971286409,0.9366010427474976,,-0.0169171071689449,0.7357345340621988,0.0,-44.99185117987438,-0.11070239543914795,-0.05960273742675781,,0.0,0.6334870239313073
gpt-5.4,15,global,0.25,hotpot_qa,"If the Charhki  Dadri crash was less dangerous than the Tenerife airport disaster, which occured firat?",Which happened first: Charhki Dadri or Tenerife?,0.8815394043922424,"The **Tenerife airport disaster** occurred first.

- **Tenerife airport disaster:** **March 27, 1977**
- **Charkhi Dadri mid-air collision:** **November 12, 1996**

So even though Charkhi Dadri was deadlier, **Tenerife happened earlier**.","The **Tenerife disaster** happened first.

- **Tenerife airport disaster:** **March 27, 1977**
- **Charkhi Dadri mid-air collision:** **November 12, 1996**

So Tenerife occurred **19 years earlier**.",72.64364960748375,0.9646862149238586,,-0.0239007195811107,0.2920482342962651,0.0,-7.836820651244167,-0.11846071481704712,-0.023810744285583385,,0.0,0.686425311109903
gpt-5.4,0,global,0.5,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,What nationality was Oliver Reed's Royal Flash character?,0.952880084514618,"Oliver Reed’s character in *Royal Flash* was **English**.

He played **Otto von Bismarck**, though in the film’s comic/adventure style the character is presented within a broadly **Prussian/German** setting. If you mean the character’s in-story nationality, it would be **Prussian (German)**.","Oliver Reed’s character in **_Royal Flash_** was **English**.

He played **Otto von Bismarck**, though — and **Bismarck was Prussian/German**, not English. If you meant the **main character, Harry Flashman**, that character was also **English**.",43.25038420288517,0.9187134504318236,,0.0269212732107728,-1.3054678863763751,0.0,-56.74961579711487,-0.04711991548538197,-0.08128654956817638,,0.0,-1.3054678863763751
gpt-5.4,1,global,0.5,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Which German composer’s Der Lindberghflug did Pacific Mozart Ensemble perform in 2002?,0.948062300682068,Pacific Mozart Ensemble performed **Kurt Weill’s** *Der Lindberghflug* in 2002.,Pacific Mozart Ensemble performed **Der Lindberghflug** by **Kurt Weill** in 2002.,58.30738459889043,0.9735174775123596,,-0.0133472122906637,0.2530214385853511,0.0,-41.69261540110961,-0.05193769931793202,-0.02648264169692993,,0.0,0.2530214385853511
gpt-5.4,2,global,0.5,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who first released ""With or Without You,"" Jai McDowall or U2?",0.9716726541519164,"U2 released **“With or Without You”** first.

- **U2**: released in **1987** on *The Joshua Tree*
- **Jai McDowall**: released his version much later, as a **cover**

So the original is by **U2**.","U2 released **“With or Without You”** first.

- **U2** originally released it in **1987** on *The Joshua Tree*.
- **Jai McDowall** released a **cover version** much later.

So the answer is: **U2**.",67.11215093863116,0.9599271416664124,,0.0157242254723916,-0.7033829613248148,0.0,-32.88784906136888,-0.028327345848083607,-0.040072858333587646,,0.0,-0.7033829613248148
gpt-5.4,3,global,0.5,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Which Kentucky county with 60,316 people has Lake Louisvilla?",0.9393659830093384,"The Kentucky county with a population of **60,316** that includes the **Lake Louisvilla** neighborhood is **Boyle County**.","The Kentucky county with a population of **60,316** that has **Lake Louisvilla** is **Boyle County**.",78.23244058627868,0.9796457886695862,,0.022387435463116,-0.6180097814669158,0.0,10.406021353935714,-0.06063401699066162,0.020244359970092773,,0.0,-1.547857919836371
gpt-5.4,4,global,0.5,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?",What is the estimated population of Para Hills West?,0.8953667879104614,"Para Hills West, South Australia lies within the **City of Salisbury**, which has an estimated population of **about 150,000 people**.","As of the 2021 Australian Census, **Para Hills West** had an estimated population of **5,234 people**.",30.52186309995966,0.8961681127548218,,-0.0635375430976309,0.3930347105771188,0.0,-60.7540580447633,-0.10463321208953857,-0.09920459985733021,,0.0,0.3277977994397874
gpt-5.4,5,global,0.5,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?","When was the ""Blackadder's Christmas Carol"" narrator born?",0.9541444182395936,"The narrator in **_Blackadder's Christmas Carol_** is **Robbie Coltrane’s character, Spirit of Christmas**, but if you mean the **main narrator/central character, Ebenezer Blackadder**, he is portrayed as living in **Victorian England in 1850s-era London**.

However, there isn’t a clearly stated canonical **birth year** for the narrator/Spirit in the special.

If you meant **Ebenezer","The narrator in *Blackadder’s Christmas Carol* is **Robbie Coltrane**, who was born on **30 March 1950**.",3.76044500183809,0.8845783472061157,,0.159776014809598,-7.080767107921747,0.0,-24.16468467315276,-0.04585558176040638,-0.02757662534713745,,0.0,-8.630624990712636
gpt-5.4,6,global,0.5,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?","When was the gunfight at the O.K. Corral, during which Thomas Fitch defended John Henry Holliday?",0.9166207313537598,"Thomas Fitch defended John Henry “Doc” Holliday in the legal proceedings that followed the **Gunfight at the O.K. Corral**, which took place on **October 26, 1881**.

The key hearing where Holliday was defended by **Thomas Fitch** was the **preliminary hearing in Tombstone**, held in the weeks after the gunfight, mainly in **late October and November 1881**.

So if you mean **when Fitch defended Holliday**,","The gunfight at the O.K. Corral took place on **October 26, 1881**.

Thomas Fitch later served as **Doc Holliday’s defense attorney** in legal proceedings connected to that event.",12.38802934730228,0.9018377065658568,,0.0259926260699817,-3.752363047063013,0.0,-51.55292534044892,-0.08337926864624023,-0.040717780590057595,,0.0,-4.138207018988526
gpt-5.4,7,global,0.5,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Which 2016 Punjabi film directed by Smeep Kang featured the actor who played Gutthi?,0.9236040711402892,"The actor who played **Gutthi** on *Comedy Nights with Kapil* is **Sunil Grover**. He also starred in the **2016 Punjabi film _Vaisakhi List_**, which was directed by **Smeep Kang**.","The 2016 Punjabi film directed by **Smeep Kang** that featured the actor who played **Gutthi** is **Ardaas**.

The actor who played Gutthi is **Sunil Grover**, and he appeared in *Ardaas* (2016).",47.13139405870769,0.9090868830680848,,-0.0423884007789883,1.7705814704863636,0.0,-52.86860594129235,-0.07639604806900036,-0.09091299772262562,,0.0,1.7709088377250597
