model,place,strength,silhouette,asr,style_family,surface_style
G-7B,prefix,0,0.49942100048065186,,surface_noise,spacing
G-7B,prefix,1,0.49942100048065186,,surface_noise,spacing
G-7B,prefix,5,0.49942100048065186,,surface_noise,spacing
G-7B,prefix,20,0.49942100048065186,,surface_noise,spacing
G-7B,prefix,50,0.49942100048065186,,surface_noise,spacing
G-7B,prefix,100,0.49942100048065186,,surface_noise,spacing
G-7B,suffix,0,0.49942100048065186,,surface_noise,spacing
G-7B,suffix,1,0.49942100048065186,,surface_noise,spacing
G-7B,suffix,5,0.49942100048065186,,surface_noise,spacing
G-7B,suffix,20,0.49942100048065186,,surface_noise,spacing
G-7B,suffix,50,0.49942100048065186,,surface_noise,spacing
G-7B,suffix,100,0.49942100048065186,,surface_noise,spacing
G-7B,global,0,0.49942100048065186,,surface_noise,spacing
G-7B,global,1,0.6228544116020203,,surface_noise,spacing
G-7B,global,5,0.5463072061538696,,surface_noise,spacing
G-7B,global,20,0.5607007145881653,,surface_noise,spacing
G-7B,global,50,0.3011440634727478,,surface_noise,spacing
G-7B,global,100,0.28790798783302307,,surface_noise,spacing
