model,place,strength,silhouette,asr,style_family,surface_style
L3.2-3B,prefix,0,,0.0859375,surface_noise,letter_case
L3.2-3B,prefix,10,,0.171875,surface_noise,letter_case
L3.2-3B,prefix,25,,0.171875,surface_noise,letter_case
L3.2-3B,prefix,50,,0.1328125,surface_noise,letter_case
L3.2-3B,prefix,75,,0.1640625,surface_noise,letter_case
L3.2-3B,prefix,100,,0.1171875,surface_noise,letter_case
L3.2-3B,suffix,0,,0.0859375,surface_noise,letter_case
L3.2-3B,suffix,10,,0.125,surface_noise,letter_case
L3.2-3B,suffix,25,,0.1328125,surface_noise,letter_case
L3.2-3B,suffix,50,,0.1015625,surface_noise,letter_case
L3.2-3B,suffix,75,,0.125,surface_noise,letter_case
L3.2-3B,suffix,100,,0.140625,surface_noise,letter_case
L3.2-3B,global,0,,0.0859375,surface_noise,letter_case
L3.2-3B,global,10,,0.109375,surface_noise,letter_case
L3.2-3B,global,25,,0.1484375,surface_noise,letter_case
L3.2-3B,global,50,,0.1328125,surface_noise,letter_case
L3.2-3B,global,75,,0.125,surface_noise,letter_case
L3.2-3B,global,100,,0.09375,surface_noise,letter_case
