model,place,strength,silhouette,asr,style_family,surface_style
Q2.5-1.5B,prefix,0,,0.1015625,surface_noise,letter_case
Q2.5-1.5B,prefix,10,,0.1875,surface_noise,letter_case
Q2.5-1.5B,prefix,25,,0.2109375,surface_noise,letter_case
Q2.5-1.5B,prefix,50,,0.15625,surface_noise,letter_case
Q2.5-1.5B,prefix,75,,0.171875,surface_noise,letter_case
Q2.5-1.5B,prefix,100,,0.2265625,surface_noise,letter_case
Q2.5-1.5B,suffix,0,,0.1015625,surface_noise,letter_case
Q2.5-1.5B,suffix,10,,0.1328125,surface_noise,letter_case
Q2.5-1.5B,suffix,25,,0.15625,surface_noise,letter_case
Q2.5-1.5B,suffix,50,,0.1171875,surface_noise,letter_case
Q2.5-1.5B,suffix,75,,0.1796875,surface_noise,letter_case
Q2.5-1.5B,suffix,100,,0.125,surface_noise,letter_case
Q2.5-1.5B,global,0,,0.1015625,surface_noise,letter_case
Q2.5-1.5B,global,10,,0.1796875,surface_noise,letter_case
Q2.5-1.5B,global,25,,0.1953125,surface_noise,letter_case
Q2.5-1.5B,global,50,,0.1875,surface_noise,letter_case
Q2.5-1.5B,global,75,,0.1640625,surface_noise,letter_case
Q2.5-1.5B,global,100,,0.1328125,surface_noise,letter_case
