model,place,strength,silhouette,asr,style_family,surface_style
G-7B,prefix,0,0.49942100048065186,,surface_noise,punctuation
G-7B,prefix,1,0.6340913772583008,,surface_noise,punctuation
G-7B,prefix,3,0.5777968168258667,,surface_noise,punctuation
G-7B,prefix,5,0.6527330875396729,,surface_noise,punctuation
G-7B,prefix,10,0.6407337188720703,,surface_noise,punctuation
G-7B,prefix,20,0.7692515850067139,,surface_noise,punctuation
G-7B,suffix,0,0.49942100048065186,,surface_noise,punctuation
G-7B,suffix,1,0.6245255470275879,,surface_noise,punctuation
G-7B,suffix,3,0.5269936919212341,,surface_noise,punctuation
G-7B,suffix,5,0.6119152307510376,,surface_noise,punctuation
G-7B,suffix,10,0.6698145866394043,,surface_noise,punctuation
G-7B,suffix,20,0.8174867630004883,,surface_noise,punctuation
G-7B,global,0,0.49942100048065186,,surface_noise,punctuation
G-7B,global,1,0.6335997581481934,,surface_noise,punctuation
G-7B,global,3,0.6802864074707031,,surface_noise,punctuation
G-7B,global,5,0.6853277683258057,,surface_noise,punctuation
G-7B,global,10,0.7174881100654602,,surface_noise,punctuation
G-7B,global,20,0.7356840372085571,,surface_noise,punctuation
