model,place,strength,silhouette,asr,style_family,surface_style
L3.1-8B,prefix,0,,0.1328125,surface_noise,spacing
L3.1-8B,prefix,1,,0.1328125,surface_noise,spacing
L3.1-8B,prefix,5,,0.1328125,surface_noise,spacing
L3.1-8B,prefix,20,,0.1328125,surface_noise,spacing
L3.1-8B,prefix,50,,0.1328125,surface_noise,spacing
L3.1-8B,prefix,100,,0.1328125,surface_noise,spacing
L3.1-8B,suffix,0,,0.1328125,surface_noise,spacing
L3.1-8B,suffix,1,,0.1328125,surface_noise,spacing
L3.1-8B,suffix,5,,0.1328125,surface_noise,spacing
L3.1-8B,suffix,20,,0.1328125,surface_noise,spacing
L3.1-8B,suffix,50,,0.1328125,surface_noise,spacing
L3.1-8B,suffix,100,,0.1328125,surface_noise,spacing
L3.1-8B,global,0,,0.1328125,surface_noise,spacing
L3.1-8B,global,1,,0.109375,surface_noise,spacing
L3.1-8B,global,5,,0.1171875,surface_noise,spacing
L3.1-8B,global,20,,0.1015625,surface_noise,spacing
L3.1-8B,global,50,,0.109375,surface_noise,spacing
L3.1-8B,global,100,,0.1015625,surface_noise,spacing
