model,place,strength,silhouette,asr,style_family,surface_style
L3.2-3B,prefix,0,,0.0859375,surface_noise,punctuation
L3.2-3B,prefix,1,,0.0703125,surface_noise,punctuation
L3.2-3B,prefix,3,,0.0625,surface_noise,punctuation
L3.2-3B,prefix,5,,0.0859375,surface_noise,punctuation
L3.2-3B,prefix,10,,0.078125,surface_noise,punctuation
L3.2-3B,prefix,20,,0.0234375,surface_noise,punctuation
L3.2-3B,suffix,0,,0.0859375,surface_noise,punctuation
L3.2-3B,suffix,1,,0.0703125,surface_noise,punctuation
L3.2-3B,suffix,3,,0.046875,surface_noise,punctuation
L3.2-3B,suffix,5,,0.0625,surface_noise,punctuation
L3.2-3B,suffix,10,,0.0546875,surface_noise,punctuation
L3.2-3B,suffix,20,,0.046875,surface_noise,punctuation
L3.2-3B,global,0,,0.0859375,surface_noise,punctuation
L3.2-3B,global,1,,0.0859375,surface_noise,punctuation
L3.2-3B,global,3,,0.125,surface_noise,punctuation
L3.2-3B,global,5,,0.0859375,surface_noise,punctuation
L3.2-3B,global,10,,0.0625,surface_noise,punctuation
L3.2-3B,global,20,,0.0546875,surface_noise,punctuation
