model,place,strength,silhouette,asr
G-7B,global,0,0.4994210004806518,0.0703125
G-7B,global,10,0.5079137086868286,0.140625
G-7B,global,25,0.265610784292221,0.125
G-7B,global,50,0.3846082091331482,0.1484375
G-7B,global,75,0.3014881610870361,0.1328125
G-7B,global,100,0.237001284956932,0.1171875
G-7B,prefix,0,0.4994210004806518,0.0703125
G-7B,prefix,10,0.5313105583190918,0.140625
G-7B,prefix,25,0.4990299940109253,0.125
G-7B,prefix,50,0.3710439205169678,0.140625
G-7B,prefix,75,0.3414420485496521,0.1484375
G-7B,prefix,100,0.5131508111953735,0.171875
G-7B,suffix,0,0.4994210004806518,0.0703125
G-7B,suffix,10,0.3552021980285644,0.140625
G-7B,suffix,25,0.3408615887165069,0.0859375
G-7B,suffix,50,0.3666979968547821,0.1328125
G-7B,suffix,75,0.3513473868370056,0.1015625
G-7B,suffix,100,0.213295578956604,0.1484375
