model,place,strength,silhouette,asr,style_family,surface_style
Q2.5-1.5B,prefix,0,0.5387461185455322,,surface_noise,letter_case
Q2.5-1.5B,prefix,10,0.5145046710968018,,surface_noise,letter_case
Q2.5-1.5B,prefix,25,0.5628546476364136,,surface_noise,letter_case
Q2.5-1.5B,prefix,50,0.5215730667114258,,surface_noise,letter_case
Q2.5-1.5B,prefix,75,0.5482696890830994,,surface_noise,letter_case
Q2.5-1.5B,prefix,100,0.5224841833114624,,surface_noise,letter_case
Q2.5-1.5B,suffix,0,0.5387461185455322,,surface_noise,letter_case
Q2.5-1.5B,suffix,10,0.536612331867218,,surface_noise,letter_case
Q2.5-1.5B,suffix,25,0.5076236724853516,,surface_noise,letter_case
Q2.5-1.5B,suffix,50,0.5294356346130371,,surface_noise,letter_case
Q2.5-1.5B,suffix,75,0.5508608222007751,,surface_noise,letter_case
Q2.5-1.5B,suffix,100,0.5081959366798401,,surface_noise,letter_case
Q2.5-1.5B,global,0,0.5387461185455322,,surface_noise,letter_case
Q2.5-1.5B,global,10,0.5494685769081116,,surface_noise,letter_case
Q2.5-1.5B,global,25,0.5085950493812561,,surface_noise,letter_case
Q2.5-1.5B,global,50,0.48362135887145996,,surface_noise,letter_case
Q2.5-1.5B,global,75,0.4763278365135193,,surface_noise,letter_case
Q2.5-1.5B,global,100,0.49660104513168335,,surface_noise,letter_case
