model,place,strength,silhouette,asr,style_family,surface_style
G-7B,prefix,0,,0.0703125,surface_noise,punctuation
G-7B,prefix,1,,0.0703125,surface_noise,punctuation
G-7B,prefix,3,,0.0625,surface_noise,punctuation
G-7B,prefix,5,,0.0546875,surface_noise,punctuation
G-7B,prefix,10,,0.078125,surface_noise,punctuation
G-7B,prefix,20,,0.0546875,surface_noise,punctuation
G-7B,suffix,0,,0.0703125,surface_noise,punctuation
G-7B,suffix,1,,0.0703125,surface_noise,punctuation
G-7B,suffix,3,,0.046875,surface_noise,punctuation
G-7B,suffix,5,,0.0390625,surface_noise,punctuation
G-7B,suffix,10,,0.03125,surface_noise,punctuation
G-7B,suffix,20,,0.0390625,surface_noise,punctuation
G-7B,global,0,,0.0703125,surface_noise,punctuation
G-7B,global,1,,0.0546875,surface_noise,punctuation
G-7B,global,3,,0.0625,surface_noise,punctuation
G-7B,global,5,,0.078125,surface_noise,punctuation
G-7B,global,10,,0.078125,surface_noise,punctuation
G-7B,global,20,,0.046875,surface_noise,punctuation
