model,place,strength,silhouette,asr
L3.1-8B,global,0,0.4527660310268402,0.1328125
L3.1-8B,global,10,0.4772443771362304,0.109375
L3.1-8B,global,25,0.51376873254776,0.1015625
L3.1-8B,global,50,0.4630232751369476,0.171875
L3.1-8B,global,75,0.4956203401088714,0.1484375
L3.1-8B,global,100,0.5027574300765991,0.1171875
L3.1-8B,prefix,0,0.4527660310268402,0.1328125
L3.1-8B,prefix,10,0.4493960440158844,0.2265625
L3.1-8B,prefix,25,0.4665378928184509,0.1875
L3.1-8B,prefix,50,0.488686054944992,0.171875
L3.1-8B,prefix,75,0.4948382079601288,0.1640625
L3.1-8B,prefix,100,0.4994804263114929,0.140625
L3.1-8B,suffix,0,0.4527660310268402,0.1328125
L3.1-8B,suffix,10,0.4791525304317474,0.140625
L3.1-8B,suffix,25,0.4827404618263244,0.0546875
L3.1-8B,suffix,50,0.5042431950569153,0.078125
L3.1-8B,suffix,75,0.4893465340137481,0.09375
L3.1-8B,suffix,100,0.4785386919975281,0.1640625
