model,prompt_id,place,strength,category,prompt_orig,prompt_pert,bertscore_prompt,response_orig,response_pert,bleu,bertscore_response,activation_similarity,delta_log_prob,entropy_shift,jsd_drift,mirroring_verdict,mirroring_length_ratio,mirroring_expected_ratio,mirroring_rate_batch,mirroring_rate,delta_bleu,delta_bertscore_prompt,delta_bertscore_response,delta_activation_similarity,delta_jsd_drift,delta_mirroring_rate
G-7B,0,global,0.25,hotpot_qa,What nationality was Oliver Reed's character in the film Royal Flash?,Oliver Reed's character's nationality?,0.9089988470077515,"Oliver Reed's character in the film Royal Flash?
model
Oliver Reed's character in Royal Flash was not a specific nationality. He played the role of the villainous character of Flash, a character not tied to a particular nationality.","s nationality?
model
Oliver Reed's character's nationality is not included in the text, therefore I cannot answer this question.",6.0283867918069935,0.8837039470672607,0.99072265625,-13.25,0.154296875,,NO,0.5517241379310345,0.25,0.0,0.0,-93.97161320819305,-0.09100115299224854,-0.11629605293273926,-0.01025390625,,-1.0
G-7B,1,global,0.25,hotpot_qa,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Which composer’s Der Lindberghflug?,0.9103577136993408,"2002?
model
The answer is Richard Strauss.

The Pacific Mozart Ensemble performed Richard Strauss's Der Lindberghflug in 2002.","berghflug?
model
The answer is Richard Strauss.

Der Lindberghflug is a composition by Richard Strauss.",37.66886556907424,0.9181149005889893,0.890625,-28.25,0.6328125,,NO,0.8174603174603174,0.25,0.0,0.0,-62.3311344309258,-0.0896422266960144,-0.08188498020172119,-0.10888671875,,-1.0
G-7B,2,global,0.25,hotpot_qa,"Who released the song ""With or Without You"" first, Jai McDowall or U2?","Who first released ""With or Without You""?",0.920876145362854,"all or U2?
model
The song ""With or Without You"" was released by U2 in 1991, not Jai McDowall.","U2 released ""With or Without You"" in 1991, not Jai McDowall.",41.19015829847377,0.9354259371757507,0.76123046875,-62.0,0.2044677734375,,NO,0.6451612903225806,0.25,0.0,0.0,-58.809841701526274,-0.079123854637146,-0.06457400321960449,-0.23828125,,-1.0
G-7B,3,global,0.25,hotpot_qa,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?","Which Kentucky county has 60,316 residents?",0.9240344762802124,"villa neighborhood?
model
The answer is Jefferson County.

Lake Louisvilla is a neighborhood in Jefferson County, Kentucky.","model
The answer is Jefferson County.

According to the 2020 census, Jefferson County, Kentucky, has a population of 60,316.",35.59739463323481,0.8871050477027893,0.96484375,-54.375,0.5634765625,,NO,1.008130081300813,0.25,0.0,0.0,-64.40260536676523,-0.07596546411514282,-0.1128949522972107,-0.03466796875,,-1.0
G-7B,4,global,0.25,hotpot_qa,"Para Hills West, South Australia lies within a city with what estimated population?",Para Hills West population?,0.9130967855453491,"Australia lies within a city with what estimated population?
model
Para Hills West, South Australia, is located in the city of Adelaide. As of 2023, the population of Adelaide is around 1,600,000 people.","s population?
model
I do not have access to real-time information, therefore I cannot provide the population of Para Hills West.",7.513278442912514,0.861980140209198,0.84619140625,-58.9375,0.38671875,,NO,0.6305418719211823,0.25,0.0,0.0,-92.48672155708753,-0.08690321445465088,-0.13801974058151245,-0.15283203125,,-1.0
G-7B,5,global,0.25,hotpot_qa,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?",When was the narrator born?,0.9148692488670349,"adder's Christmas Carol"" born?
model
The narrator of ""A Christmas Carol"" is Ebenezer Scrooge, not the narrator of ""Blackadder's Christmas Carol.""","When was the narrator born?
model
The text does not provide any information about the narrator's birth date, therefore I cannot answer this question.",10.61795968030334,0.8360078930854797,0.97119140625,-67.75,0.360107421875,,NO,1.0275862068965518,0.25,0.0,0.0,-89.3820403196967,-0.08513075113296509,-0.16399210691452026,-0.02783203125,,-1.0
G-7B,6,global,0.25,hotpot_qa,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?",When did Thomas Fitch defend Holliday?,0.8994463086128235,"This text does not specify the date of the event, therefore I cannot answer the question.","Thomas Fitch defend Holliday?
model
I do not have access to real-time information, therefore I cannot answer the question of when Thomas Fitch defended Holliday.",22.229849552064017,0.8939610719680786,0.9736328125,-14.994140625,0.168212890625,,NO,1.8089887640449438,0.25,0.0,0.0,-77.77015044793603,-0.10055369138717651,-0.10603892803192139,-0.02734375,,-1.0
G-7B,7,global,0.25,hotpot_qa,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Which 2016 Punjabi film starred Gutthi?,0.9030666947364807,"The answer is Phillauri.

The actor who played Gutthi on Comedy Nights with Kapil Show also starred in the 2016 Punjabi film Phillauri.","model
I do not have access to real-time information, therefore I cannot answer the question regarding Gutthi's 2016 Punjabi film.",6.671284239043697,0.8676421642303467,0.88330078125,-57.5625,0.147216796875,,NO,0.9555555555555556,0.25,0.0,0.0,-93.32871576095634,-0.09693330526351929,-0.13235771656036377,-0.11767578125,,-1.0
G-7B,8,global,0.25,hotpot_qa,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",Which Murphy brother starred in Twisted Fortune?,0.9035024046897888,"Fortune, which starred which brother of Eddie Murphy?
model
The answer is Eddie Murphy's brother, Charlie Murphy.

Twisted Fortune was directed by Victor Varnada and starred Charlie Murphy.","in Twisted Fortune?
model
Ryan Murphy starred in Twisted Fortune. He played the role of Barry Kripke.",3.5548176937277502,0.8588072061538696,0.87255859375,-63.6875,0.814453125,,NO,0.5343915343915344,0.25,0.0,0.0,-96.44518230627229,-0.09649759531021118,-0.1411927342414856,-0.12744140625,,-1.0
G-7B,9,global,0.25,hotpot_qa,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",Who was the Industrial Chaplain?,0.8745376467704773,"model
The answer is: Thomas Cranmer.

Thomas Cranmer was Industrial Chaplain to the Bishop of Lincoln. He was born in the village of North Somerton, Lincolnshire, England.","Who was the Industrial Chaplain?
model
The Industrial Chaplain was John Wesley. He was a Methodist preacher who traveled to factories and mines to offer spiritual guidance to workers.",6.886939002329676,0.8595271706581116,0.78466796875,-66.625,0.472900390625,,NO,1.0701754385964912,0.25,0.0,0.0,-93.11306099767037,-0.1254623532295227,-0.14047276973724365,-0.21533203125,,-1.0
