model,place,strength,silhouette,asr
Q2.5-7B,global,0,0.4630896747112274,0.0234375
Q2.5-7B,global,1,0.4544856250286102,0.0234375
Q2.5-7B,global,5,0.4738130867481231,0.0546875
Q2.5-7B,global,20,0.472099632024765,0.0234375
Q2.5-7B,global,50,0.4461526870727539,0.0234375
Q2.5-7B,global,100,0.4648687243461609,0.0390625
Q2.5-7B,prefix,0,0.4630896747112274,0.0234375
Q2.5-7B,prefix,1,0.4651339650154114,0.015625
Q2.5-7B,prefix,5,0.4544256329536438,0.0234375
Q2.5-7B,prefix,20,0.4570751786231994,0.015625
Q2.5-7B,prefix,50,0.4561790227890014,0.015625
Q2.5-7B,prefix,100,0.4599964618682861,0.03125
Q2.5-7B,suffix,0,0.4630896747112274,0.0234375
Q2.5-7B,suffix,1,0.4558931291103363,0.03125
Q2.5-7B,suffix,5,0.4559822082519531,0.03125
Q2.5-7B,suffix,20,0.4560063481330871,0.015625
Q2.5-7B,suffix,50,0.4557737708091736,0.0234375
Q2.5-7B,suffix,100,0.4701423048973083,0.03125
