model,place,strength,silhouette,asr,style_family,surface_style
G-7B,prefix,0,,0.0703125,surface_noise,spacing
G-7B,prefix,1,,0.0703125,surface_noise,spacing
G-7B,prefix,5,,0.0703125,surface_noise,spacing
G-7B,prefix,20,,0.0703125,surface_noise,spacing
G-7B,prefix,50,,0.0703125,surface_noise,spacing
G-7B,prefix,100,,0.0703125,surface_noise,spacing
G-7B,suffix,0,,0.0703125,surface_noise,spacing
G-7B,suffix,1,,0.0703125,surface_noise,spacing
G-7B,suffix,5,,0.0703125,surface_noise,spacing
G-7B,suffix,20,,0.0703125,surface_noise,spacing
G-7B,suffix,50,,0.0703125,surface_noise,spacing
G-7B,suffix,100,,0.0703125,surface_noise,spacing
G-7B,global,0,,0.0703125,surface_noise,spacing
G-7B,global,1,,0.0625,surface_noise,spacing
G-7B,global,5,,0.09375,surface_noise,spacing
G-7B,global,20,,0.078125,surface_noise,spacing
G-7B,global,50,,0.078125,surface_noise,spacing
G-7B,global,100,,0.1328125,surface_noise,spacing
